"%1$d of %2$d invitations were discarded.","%1$d of %2$d invitations were discarded."
"%1$d of %2$d invitations were sent.","%1$d of %2$d invitations were sent."
"%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded.","%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded."
"%d invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%d invitation(s) were not sent, because customer accounts already exist for specified email addresses."
"%d invitation(s) were sent.","%d invitation(s) were sent."
"%d of selected invitation(s) were skipped.","%d of selected invitation(s) were skipped."
"* Required Fields","* Required Fields"
"Acceptance Rate","Acceptance Rate"
"Accepted","Accepted"
"Accepted and Purchased","Accepted and Purchased"
"Add Invitations","Add Invitations"
"Admin","Admin"
"Allow Customers to Add Custom Message to Invitation Email","Allow Customers to Add Custom Message to Invitation Email"
"Are you sure you want to discard this invitation?","Are you sure you want to discard this invitation?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Available to All","Available to All"
"Back","Back"
"Back to Invitations","Back to Invitations"
"By Invitation Only","By Invitation Only"
"CSV","CSV"
"Conversion Rate","Conversion Rate"
"Customer Account Registration by Invitation Form","Customer Account Registration by Invitation Form"
"Customer Group","Customer Group"
"Customer ID","Customer ID"
"Customer Invitation","Customer Invitation"
"Customer Invitation Email Sender","Customer Invitation Email Sender"
"Customer Invitation Email Template","Customer Invitation Email Template"
"Customer Invitations","Customer Invitations"
"Customer My Account Invitations Form","Customer My Account Invitations Form"
"Customer My Account Invitations List","Customer My Account Invitations List"
"Customer with email ""%s"" already exists.","Customer with email ""%s"" already exists."
"Customers","Customers"
"Default Customer Group from System Configuration","Default Customer Group from System Configuration"
"Default from System Configuration","Default from System Configuration"
"Discard Invitation","Discard Invitation"
"Discard Rate","Discard Rate"
"Discard selected","Discard selected"
"Discarded","Discarded"
"Email","Email"
"Email is not specified.","Email is not specified."
"Enable Invitations Functionality","Enable Invitations Functionality"
"Enable Invitations on Frontend","Enable Invitations on Frontend"
"Enter each Email on New Line","Enter each Email on New Line"
"Excel","Excel"
"Failed to send %1$d of %2$d invitation(s).","Failed to send %1$d of %2$d invitation(s)."
"Failed to send %d invitation(s).","Failed to send %d invitation(s)."
"Failed to send email to %s. Please try again later.","Failed to send email to %s. Please try again later."
"First Name","First Name"
"General","General"
"General Report","General Report"
"Group","Group"
"ID","ID"
"Impossible to generate encrypted code.","Impossible to generate encrypted code."
"Invalid invitation code.","Invalid invitation code."
"Invalid invitation email.","Invalid invitation email."
"Invalid or empty invitation email.","Invalid or empty invitation email."
"Invalid value used for ""%s"" parameter. Previous value saved.","Invalid value used for ""%s"" parameter. Previous value saved."
"Invitation Information","Invitation Information"
"Invitation Message","Invitation Message"
"Invitation Report by Customers","Invitation Report by Customers"
"Invitation Report by Order Conversion Rate","Invitation Report by Order Conversion Rate"
"Invitation Section","Invitation Section"
"Invitation Url","Invitation Url"
"Invitation for %s has been sent successfully.","Invitation for %s has been sent successfully."
"Invitation has no ID.","Invitation has no ID."
"Invitation not found.","Invitation not found."
"Invitation was successfully saved.","Invitation was successfully saved."
"Invitation with status ""%s"" cannot be sent.","Invitation with status ""%s"" cannot be sent."
"Invitations","Invitations"
"Invitations Accepted","Invitations Accepted"
"Invitations Information","Invitations Information"
"Invitations Sent","Invitations Sent"
"Invite your friends by entering their email addresses below","Invite your friends by entering their email addresses below"
"Invitee","Invitee"
"Invitee Group","Invitee Group"
"Invitee Information","Invitee Information"
"Inviter Information","Inviter Information"
"Last Name","Last Name"
"Link","Link"
"Manage Invitations","Manage Invitations"
"Max Invitations Allowed to be Sent at One Time","Max Invitations Allowed to be Sent at One Time"
"Message","Message"
"Message cannot be updated.","Message cannot be updated."
"My Invitations","My Invitations"
"N/A","N/A"
"Name","Name"
"New Accounts Registration","New Accounts Registration"
"New Invitations","New Invitations"
"No customer group id specified.","No customer group id specified."
"Not Sent","Not Sent"
"Order Conversion Rate","Order Conversion Rate"
"Please enter valid email addresses, separated by new line.","Please enter valid email addresses, separated by new line."
"Please select invitations.","Please select invitations."
"Referred Customer Group","Referred Customer Group"
"Registered","Registered"
"Same as Inviter","Same as Inviter"
"Save Invitation","Save Invitation"
"Send At","Send At"
"Send From","Send From"
"Send Invitation","Send Invitation"
"Send Invitations","Send Invitations"
"Send selected","Send selected"
"Sent","Sent"
"Sign Up At","Sign Up At"
"Signed Up At","Signed Up At"
"Specify at least one email.","Specify at least one email."
"Status","Status"
"Status History","Status History"
"Store View","Store View"
"This invitation is not valid.","This invitation is not valid."
"Unable to determine proper website.","Unable to determine proper website."
"Valid on Website","Valid on Website"
"Website","Website"
"Wrong store specified.","Wrong store specified."
"You cannot send more invitations","You cannot send more invitations"
"You have not sent invitations yet","You have not sent invitations yet"
"Your invitation is not valid. Please contact us at %s.","Your invitation is not valid. Please contact us at %s."
"Your invitation is not valid. Please create an account.","Your invitation is not valid. Please create an account."
