"%d PTS is equal to %s","%d PTS is equal to %s"
"%d PTS is equal to %s in Website Currency","%d PTS is equal to %s in Website Currency"
"%d Points (%s) available","%d Points (%s) available"
"%d Reward Points","%d Reward Points"
"%s in Website Currency is equal to %d PTS","%s in Website Currency is equal to %d PTS"
"%s is equal to %d PTS","%s is equal to %d PTS"
"Acquiring Reward Points by Customers","Acquiring Reward Points by Customers"
"Add New Rate","Add New Rate"
"Affect Balance when Creating Orders","Affect Balance when Creating Orders"
"After Approval by Administrator","After Approval by Administrator"
"All Customer Groups","All Customer Groups"
"All Websites","All Websites"
"Amount","Amount"
"Balance","Balance"
"Balance History","Balance History"
"Balance Update Email","Balance Update Email"
"Can not save Rate.","Can not save Rate."
"Cap Reward Points Balance to","Cap Reward Points Balance to"
"Comment","Comment"
"Comments","Comments"
"Converting Invitation to Customer","Converting Invitation to Customer"
"Converting Invitation to Order","Converting Invitation to Order"
"Currency Amount","Currency Amount"
"Currency Delta","Currency Delta"
"Currency To Points","Currency To Points"
"Customer Group","Customer Group"
"Customer registered","Customer registered"
"Customers","Customers"
"Customers may see Reward Points History","Customers may see Reward Points History"
"Date","Date"
"Delete Orphan Points","Delete Orphan Points"
"Direction","Direction"
"Dynamic","Dynamic"
"Each","Each"
"Edit Reward Exchange Rate","Edit Reward Exchange Rate"
"Email Notification Settings","Email Notification Settings"
"Email Sender","Email Sender"
"Empty Value disables this Limitation","Empty Value disables this Limitation"
"Empty Value or Greater than Expiry Lifetime disables Warning Notification","Empty Value or Greater than Expiry Lifetime disables Warning Notification"
"Enable Reward Points Functionality","Enable Reward Points Functionality"
"Enter Negative Number to Substract Balance","Enter Negative Number to Substract Balance"
"Expiration Date","Expiration Date"
"Expiry Warning before (days)","Expiry Warning before (days)"
"First","First"
"Gained Promotion Extra Points from Order #%s","Gained Promotion Extra Points from Order #%s"
"Get %s Reward Points (%s) for Purchases by your Invitees.","Get %s Reward Points (%s) for Purchases by your Invitees."
"Get %s Reward Points for Purchases by your Invitees.","Get %s Reward Points for Purchases by your Invitees."
"Given action ID has to be an integer value.","Given action ID has to be an integer value."
"ID","ID"
"Invalid form data","Invalid form data"
"Invalid property type","Invalid property type"
"Invitation to %s converted into a Customer","Invitation to %s converted into a Customer"
"Invitation to %s converted into an Order #%s","Invitation to %s converted into an Order #%s"
"Invitation to Customer Conversions Limit","Invitation to Customer Conversions Limit"
"Invitation to Order Conversions Limit","Invitation to Order Conversions Limit"
"Invite now and get %s Reward Points (%s) if your Invitee registers.","Invite now and get %s Reward Points (%s) if your Invitee registers."
