"Action","Action"
"Add New Search Term","Add New Search Term"
"Display in Suggested Terms","Display in Suggested Terms"
"Edit","Edit"
"Enable Search Recommendations","Enable Search Recommendations"
"Enable Search Suggestions","Enable Search Suggestions"
"Enable Solr Engine For Catalog Navigation","Enable Solr Engine For Catalog Navigation"
"ID","ID"
"No","No"
"Note: Enabling this option affects the perfomance.","Note: Enabling this option affects the perfomance."
"Number of Uses","Number of Uses"
"Redirect","Redirect"
"Related searches","Related searches"
"Results","Results"
"Search Engine","Search Engine"
"Search Query","Search Query"
"Search Recommendations Count","Search Recommendations Count"
"Search Suggestions Count","Search Suggestions Count"
"Show Results Count For Each Recommendation","Show Results Count For Each Recommendation"
"Show Results Count For Each Suggestion","Show Results Count For Each Suggestion"
"Solr Server Hostname","Solr Server Hostname"
"Solr Server Password","Solr Server Password"
"Solr Server Path","Solr Server Path"
"Solr Server Port","Solr Server Port"
"Solr Server Timeout","Solr Server Timeout"
"Solr Server Username","Solr Server Username"
"Store","Store"
"Synonym For","Synonym For"
"Unable to perform search because of search engine missed configuration.","Unable to perform search because of search engine missed configuration."
"Without starting and trailing slashes.","Without starting and trailing slashes."
"Yes","Yes"
