"(Staging Copy)","(Staging Copy)"
"Accessible","Accessible"
"Action","Action"
"Action Before Resetting","Action Before Resetting"
"Add","Add"
"Add new store view map","Add new store view map"
"All Backup Items are outdated. The Backup is read-only.","All Backup Items are outdated. The Backup is read-only."
"All automatically created Entry Points will reside in this Folder. The Folder should be writeable.","All automatically created Entry Points will reside in this Folder. The Folder should be writeable."
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Automatically create Entry Points for Staging Websites","Automatically create Entry Points for Staging Websites"
"Back","Back"
"Backup","Backup"
"Backup General Info","Backup General Info"
"Backup Main Information","Backup Main Information"
"Backup version: ","Backup version: "
"Backups","Backups"
"Base URL for this website will be created automatically.","Base URL for this website will be created automatically."
"Base Url","Base Url"
"Before creating a staging website, make sure that the base URLs of the source website are properly defined.","Before creating a staging website, make sure that the base URLs of the source website are properly defined."
"Bundles","Bundles"
"CMS Blocks","CMS Blocks"
"CMS Pages","CMS Pages"
"Cannot perform create operation, because reindexing process or another staging operation is running","Cannot perform create operation, because reindexing process or another staging operation is running"
"Cannot perform create operation, because reindexing process or another staging operation is running.","Cannot perform create operation, because reindexing process or another staging operation is running."
"Cannot perform merge operation, because reindexing process or another staging operation is running","Cannot perform merge operation, because reindexing process or another staging operation is running"
"Cannot perform rollback operation, because reindexing process or another staging operation is running","Cannot perform rollback operation, because reindexing process or another staging operation is running"
"Cannot run staging website","Cannot run staging website"
"Catalog Categories","Catalog Categories"
"Catalog Inventory","Catalog Inventory"
"Catalog Price Rules","Catalog Price Rules"
"Catalog Search","Catalog Search"
"Choose Store View","Choose Store View"
"Close Entire Frontend","Close Entire Frontend"
"Close Website during Merge or Rollback","Close Website during Merge or Rollback"
"Close only relevant websites","Close only relevant websites"
"Completed","Completed"
"Content","Content"
"Content Staging","Content Staging"
"Continue","Continue"
"Couldn\'t remove backup: #%s","Couldn\'t remove backup: #%s"
"Create","Create"
"Create New Staging Store View","Create New Staging Store View"
"Create New Staging Website","Create New Staging Website"
"Create a backup","Create a backup"
"Created At","Created At"
"Created Date","Created Date"
"Current: ","Current: "
"Customers","Customers"
"Delete","Delete"
"Details","Details"
"Downloadable","Downloadable"
"Edit","Edit"
"Entry Point will be built using the Staging Website Code","Entry Point will be built using the Staging Website Code"
"Error while merging. Please review log and try again.","Error while merging. Please review log and try again."
"Error while performing rollback. Please review log and try again.","Error while performing rollback. Please review log and try again."
"Error while saving staging data. Please review log and try again.","Error while saving staging data. Please review log and try again."
"Error while validating data. Please review log and try again.","Error while validating data. Please review log and try again."
"Exception while SQL query: %s. Query: %s","Exception while SQL query: %s. Query: %s"
"Export to:","Export to:"
"Failed to unschedule merge","Failed to unschedule merge"
"Folder Name for Entry Points","Folder Name for Entry Points"
"From","From"
"Frontend restriction","Frontend restriction"
"General Information","General Information"
"Gift Cards","Gift Cards"
"HTTP Login","HTTP Login"
"HTTP Password","HTTP Password"
"ID","ID"
"If no store view mapping is specified only website-related information will be merged","If no store view mapping is specified only website-related information will be merged"
"Incorrect Id","Incorrect Id"
"Instant Merger","Instant Merger"
"Item model ""%s"" is not under backup","Item model ""%s"" is not under backup"
"Items","Items"
"Items copied","Items copied"
"Landing Page","Landing Page"
"Latest Event","Latest Event"
"Logged At","Logged At"
"Master Store Code","Master Store Code"
"Master Store Id","Master Store Id"
"Master Website","Master Website"
"Master Website Code","Master Website Code"
"Master Website Id","Master Website Id"
"Master website successfully restored.","Master website successfully restored."
"Merge","Merge"
"Merge Now","Merge Now"
"Merge cannot be done now, because a Merge or Rollback is in progress. Please try again later.","Merge cannot be done now, because a Merge or Rollback is in progress. Please try again later."
"Merge...","Merge..."
"Merger Scheduling","Merger Scheduling"
"Merger Unscheduling","Merger Unscheduling"
"Name","Name"
"No","No"
"No information","No information"
"No information available.","No information available."
"Not accessible","Not accessible"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Password must have at least 6 characters. Leading or trailing spaces will be ignored."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure that Base URL ends with '/' (slash), e.g. https://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. https://yourdomain/magento/"
"Please, make sure that folder %s exists and is writeable.","Please, make sure that folder %s exists and is writeable."
"Please, select a store view","Please, select a store view"
"Polls","Polls"
"Processing","Processing"
"Ready","Ready"
"Remove","Remove"
"Require Http Auth","Require Http Auth"
"Reset","Reset"
"Reset Status","Reset Status"
"Result","Result"
"Rollback","Rollback"
"Sales","Sales"
"Save","Save"
"Schedule Date","Schedule Date"
"Schedule Merge","Schedule Merge"
"Scheduled Merger","Scheduled Merger"
"Secure Base Url","Secure Base Url"
"Select Items to be merged","Select Items to be merged"
"Select Original Website Content to be Copied to Staging Website","Select Original Website Content to be Copied to Staging Website"
"Select Original Website Store Views to be Copied to Staging Website","Select Original Website Store Views to be Copied to Staging Website"
"Select website to map","Select website to map"
"Set Staging Merge Date","Set Staging Merge Date"
"Settings","Settings"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Source Website","Source Website"
"Staging Merge Schedule Configuration","Staging Merge Schedule Configuration"
"Staging Operations Log","Staging Operations Log"
"Staging Store Code","Staging Store Code"
"Staging Store Name","Staging Store Name"
"Staging Store: ","Staging Store: "
"Staging Table %s doesn\'t exists","Staging Table %s doesn\'t exists"
"Staging Type","Staging Type"
"Staging Website","Staging Website"
"Staging Website ""%s"" cannot be merged at this moment","Staging Website ""%s"" cannot be merged at this moment"
"Staging Website - Merge Configuration","Staging Website - Merge Configuration"
"Staging Website Code","Staging Website Code"
"Staging Website Creation","Staging Website Creation"
"Staging Website Id","Staging Website Id"
"Staging Website Information","Staging Website Information"
"Staging Website Name","Staging Website Name"
"Staging Website Settings","Staging Website Settings"
"Staging Website: ","Staging Website: "
"Staging Websites","Staging Websites"
"Staging was successfully unscheduled","Staging was successfully unscheduled"
"Staging website successfully created","Staging website successfully created"
"Staging website successfully merged.","Staging website successfully merged."
"Staging website successfully saved","Staging website successfully saved"
"Staging website successfully scheduled to merge.","Staging website successfully scheduled to merge."
"Started","Started"
"Status","Status"
"Status Reset","Status Reset"
"Store View Mapping","Store View Mapping"
"Store views copied","Store views copied"
"Store: ","Store: "
"System Configuration","System Configuration"
"Table Prefix","Table Prefix"
"Tags","Tags"
"Target","Target"
"Terms And Conditions","Terms And Conditions"
"There are no items were selected for rollback.","There are no items were selected for rollback."
"There are no store views for copying","There are no store views for copying"
"There are no store views were copied","There are no store views were copied"
"There is wrong value in configuration for entry points folder name.","There is wrong value in configuration for entry points folder name."
"There was no mapping defined for store views.","There was no mapping defined for store views."
"This Backup is read-only, because a Merge or Rollback is in progress. Please try again later.","This Backup is read-only, because a Merge or Rollback is in progress. Please try again later."
"To","To"
