"200 OK","200 OK"
"503 Service unavailable","503 Service unavailable"
"Access Restriction","Access Restriction"
"Applicable only if Restriction Mode is Website Closed. Landing Page is rendered as raw HTML.","Applicable only if Restriction Mode is Website Closed. Landing Page is rendered as raw HTML."
"Applicable only in Private Sales mode","Applicable only in Private Sales mode"
"HTTP response","HTTP response"
"Landing Page","Landing Page"
"Private Sales: Login Only","Private Sales: Login Only"
"Private Sales: Login and Register","Private Sales: Login and Register"
"Restriction Mode","Restriction Mode"
"Startup Page","Startup Page"
"To landing page (302 Found)","To landing page (302 Found)"
"To login form (302 Found)","To login form (302 Found)"
"Website Closed","Website Closed"
