"Add Items to Cart","Add Items to Cart","duplicate (128-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml, 93-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view.phtml)"
"Add to Cart","Add to Cart","duplicate (55-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/compare/list.phtml, 97-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/compare/list.phtml, 131-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml, 147-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml, 35-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/list/crosssell.phtml, 96-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view.phtml, 109-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view.phtml, 54-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/list.phtml, 94-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/list.phtml)"
"Add to Compare","Add to Compare","duplicate (136-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml, 142-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml, 151-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml, 103-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view.phtml, 115-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view.phtml, 65-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/list.phtml, 100-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/list.phtml)"
"Add to Wishlist","Add to Wishlist","duplicate (99-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/compare/list.phtml, 135-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml, 141-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml, 149-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml, 43-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/list/related.phtml, 36-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/list/crosssell.phtml, 101-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view.phtml, 112-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view.phtml, 62-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/list.phtml, 98-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/list.phtml)"
All,All,"duplicate (211-/home/vasily/dev/magento/app/code/core/Mage/Catalog/Block/Product/List/Toolbar.php, 214-/home/vasily/dev/magento/app/code/core/Mage/Catalog/Block/Product/List/Toolbar.php)"
"Availability: In stock. Ships within 24 hours.","Availability: In stock. Ships within 24 hours.","duplicate (125-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml, 146-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml)"
"Availability: In stock. Ships within 24hours.","Availability: In stock. Ships within 24hours.","duplicate (89-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view.phtml, 107-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view.phtml)"
"Buy %s for %s each","Buy %s for %s each","duplicate (113-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view/bundle.phtml, 78-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/view.phtml)"
Category,Category,"duplicate (64-/home/vasily/dev/magento/app/code/core/Mage/Catalog/Model/Layer/Filter/Category.php, 37-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/navigation/left.phtml)"
"Clear All Items","Clear All Items","duplicate (37-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/product/compare/sidebar.phtml, 39-/home/vasily/dev/magento/app/design/frontend/default/default/template/catalog/layer/state.phtml)"
Grid,Grid,"duplicate (45-/home/vasily/dev/magento/app/code/core/Mage/Catalog/Block/Product/List/Toolbar.php, 53-/home/vasily/dev/magento/app/code/core/Mage/Catalog/Block/Product/List/Toolbar.php, 57-/home/vasily/dev/magento/app/code/core/Mage/Catalog/Block/Product/List/Toolbar.php)"
List,List,"duplicate (49-/home/vasily/dev/magento/app/code/core/Mage/Catalog/Block/Product/List/Toolbar.php, 53-/home/vasily/dev/magento/app/code/core/Mage/Catalog/Block/Product/List/Toolbar.php, 57-/home/vasily/dev/magento/app/code/core/Mage/Catalog/Block/Product/List/Toolbar.php)"
