"To Fixed Value","To Fixed Value"
"Attribute Set","Attribute Set"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Conditions Combination","Conditions Combination"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Description: %s","Description: %s"
"Expire at: %s","Expire at: %s"
"Name: %s","Name: %s"
"Product Attribute","Product Attribute"
"Rule price","Rule price"
"Start at: %s","Start at: %s"
"To Percentage","To Percentage"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Update the Product"
