All,All
"Catalog Advanced Search","Catalog Advanced Search"
"Go to Home Page","Go to Home Page"
Home,Home
List,List
Name,Name
Price,Price
"Required Fields","Required Fields"
Results,Results
Search,Search
"Search entire store here...","Search entire store here..."
"Search results for '%s'","Search results for '%s'"
"Search results for: '%s'","Search results for: '%s'"
"Search Settings","Search Settings"
"Search Site","Search Site"
"Your search returns no results.","Your search returns no results."
