"Accepted currency","Accepted currency"
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"CGI URL","CGI URL"
"ChronoPay Gateway","ChronoPay Gateway"
"ChronoPay Standard","ChronoPay Standard"
"Credit Card Types","Credit Card Types"
"Customer Interface language","Customer Interface language"
"Customer successfully returned from Chronopay","Customer successfully returned from Chronopay"
"Customer was redirected to Chronopay","Customer was redirected to Chronopay"
"Debug","Debug"
"Dutch","Dutch"
"Enabled","Enabled"
"English","English"
"Gateway request error: %s","Gateway request error: %s"
"German","German"
"Invalid operation code","Invalid operation code"
"Invalid response format","Invalid response format"
"New order status","New order status"
"Order #%s","Order #%s"
"Order number will be used if left empty","Order number will be used if left empty"
"Payment Action","Payment Action"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Please specify Access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay Client Admin.","Please specify Access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay Client Admin."
"Product ID","Product ID"
"Russian","Russian"
"Selected currency code (","Selected currency code ("
"Shared Secret","Shared Secret"
"Site ID","Site ID"
"Sort order","Sort order"
"There was an error occurred during paying process.","There was an error occurred during paying process."
"Title","Title"
"Transaction Description","Transaction Description"
"Transaction ID is invalid","Transaction ID is invalid"
"You will be redirected to ChronoPay in a few seconds.","You will be redirected to ChronoPay in a few seconds."
