"* Required Fields","* Required Fields"
"A new password was sent","A new password was sent"
"Account Information","Account Information"
"Account information was successfully saved","Account information was successfully saved"
"Add New Address","Add New Address"
"Additional Address Entries","Additional Address Entries"
Address,Address
"Address Book","Address Book"
"Address Information","Address Information"
Addresses,Addresses
Admin,Admin
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
Back,Back
"Back to Login","Back to Login"
Balance,Balance
"Billing Information","Billing Information"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Cannot delete customer","Cannot delete customer"
"Change Account Password","Change Account Password"
"Change Billing Address","Change Billing Address"
"Change Password","Change Password"
"Change Shipping Address","Change Shipping Address"
City,City
Company,Company
"Confirm New Password","Confirm New Password"
"Confirm Password","Confirm Password"
"Contact Information","Contact Information"
"Continue Shopping","Continue Shopping"
Country,Country
"Create Account","Create Account"
"Create an Account","Create an Account"
"Create In","Create In"
"Create New Customer Account","Create New Customer Account"
"Created From","Created From"
"Current customer password is empty","Current customer password is empty"
"Current Password","Current Password"
"Customer email already exists","Customer email already exists"
"Customer Group","Customer Group"
"Customer group already exists.","Customer group already exists."
Date,Date
"Default Addresses","Default Addresses"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Delete Address","Delete Address"
Details,Details
"Edit Account Information","Edit Account Information"
"Edit Address","Edit Address"
"Edit Address Entry","Edit Address Entry"
"Edit Newsletter Subscription","Edit Newsletter Subscription"
"Edit Newsletters","Edit Newsletters"
"Edit Personal Information","Edit Personal Information"
Email,Email
"Email Address","Email Address"
"Error during customer deletion","Error during customer deletion"
"Error during saving customer","Error during saving customer"
"Error during saving customer address","Error during saving customer address"
"Error during updating the password","Error during updating the password"
"Error while updating the password","Error while updating the password"
"Ext. Price","Ext. Price"
Fax,Fax
"First Name","First Name"
"Forgot Your Password?","Forgot Your Password?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity. Select a link below to view.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity. Select a link below to view."
"General Subscription","General Subscription"
"Go to Address Book","Go to Address Book"
"Grand Total: %s","Grand Total: <strong>%s</strong>"
"Hello, %s!","Hello, %s!"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Invalid current password","Invalid current password"
"Invalid customer ID","Invalid customer ID"
"Invalid customer ID in the address data","Invalid customer ID in the address data"
"Invalid login or password","Invalid login or password"
"Invalid region for country specified in the address","Invalid region for country specified in the address"
"Items Order","Items Order"
"Last 5 Orders","Last 5 Orders"
"Last Name","Last Name"
"Last Viewed Items","Last Viewed Items"
Login,Login
"Login Information","Login Information"
"Login or Create an Account","Login or Create an Account"
"Manage Addresses","Manage Addresses"
"My Account","My Account"
"My Balance","My Balance"
"My Orders","My Orders"
"My Reviews","My Reviews"
"My Tags","My Tags"
"My Wishlist","My Wishlist"
"New Address","New Address"
"New Address Entry","New Address Entry"
"New Customers","New Customers"
"New Password","New Password"
"New passwords do not match","New passwords do not match"
Newsletter,Newsletter
"Newsletter Subscriptions","Newsletter Subscriptions"
Newsletters,Newsletters
"Order #","Order #"
"Order #%s (%s)","Order #%s (%s)"
"Order List...","Order List..."
Password,Password
"Password was successfully updated","Password was successfully updated"
"Payment Method","Payment Method"
"Personal Information","Personal Information"
"Please enter your email below and we\'ll send you a new password.","Please enter your email below and we\'ll send you a new password."
"Please select region, state or province","Please select region, state or province"
Price,Price
"Primary Billing Address","Primary Billing Address"
"Primary Shipping Address","Primary Shipping Address"
Product,Product
Qty,Qty
"Registered Customers","Registered Customers"
Remove,Remove
"Retrieve your password here","Retrieve your password here"
Save,Save
"Save Address","Save Address"
"Save Password","Save Password"
"Save Subscription","Save Subscription"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shoppping Cart","Shoppping Cart"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
State/Province,State/Province
Status,Status
"Street Address","Street Address"
"Street Address 2","Street Address 2"
Submit,Submit
Subscribe,Subscribe
Telephone,Telephone
"Thank you for registering with %s","Thank you for registering with %s"
"The address does not belong to this customer","The address does not belong to this customer"
"The address was successfully deleted","The address was successfully deleted"
"The address was successfully saved","The address was successfully saved"
"There was an error while deleting the address","There was an error while deleting the address"
"This email address was not found in our records","This email address was not found in our records"
"This is My Primary %s Address","This is My Primary <strong>%s</strong> Address"
"To Cart","To Cart"
Total,Total
Update,Update
"Use as my default billing address","Use as my default <strong>billing</strong> address"
"Use as my default shipping address","Use as my default <strong>shipping</strong> address"
"Use as My Primary %s Address","Use as My Primary <strong>%s</strong> Address"
"View Order","View Order"
"View Order List","View Order List"
Wishlist,Wishlist
"Wrong region id by selected country","Wrong region id by selected country"
"You are currently not subscribed to our newsletter","You are currently not subscribed to our newsletter"
"You are currently subscribed to 'General Subscription'.","You are currently subscribed to 'General Subscription'."
"You are currently subscribed to no newsletters.","You are currently subscribed to no newsletters."
"You are currently subscribed to our newsletter","You are currently subscribed to our newsletter"
"You are currently subscribed to our newsletter.","You are currently subscribed to our newsletter."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","You have been successfully logged out and will be redirected to our homepage in 5 seconds."
"You have no additional address entries in your address book.","You have no additional address entries in your address book."
"You have no additional entries in your address book.","You have no additional entries in your address book."
"You have no default billing address in your address book.","You have no default billing address in your address book."
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"You have no primary entries in your address book.","You have no primary entries in your address book."
"You have not set a primary billing address.","You have not set a primary billing address."
"You have not set a primary shipping address.","You have not set a primary shipping address."
"You have placed no orders yet.","You have placed no orders yet."
"You have placed no products yet.","You have placed no products yet."
"You're now Logged Out","You're now Logged Out"
"Your account balance is: %s","Your account balance is: <strong>%s</strong>"
"Zip/Postal Code","Zip/Postal Code"
