"Authorization","Authorization"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Cybersource (SOAP Toolkit)","Cybersource (SOAP Toolkit)"
"Debug","Debug"
"Enabled","Enabled"
"Error in refunding the payment","Error in refunding the payment"
"Gateway request error: %s","Gateway request error: %s"
"Invalid transaction id or token","Invalid transaction id or token"
"JCB","JCB"
"Laser","Laser"
"Maestro (International)","Maestro (International)"
"Maestro/Solo(UK Domestic)","Maestro/Solo(UK Domestic)"
"Merchant ID","Merchant ID"
"New order status","New order status"
"Payment Action","Payment Action"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"SOAP extension is not enabled. Please contact us.","SOAP extension is not enabled. Please contact us."
"Sale","Sale"
"Security Key","Security Key"
"Sort order","Sort order"
"Test mode","Test mode"
"There is an error in processing payment. Please try again or contact us.","There is an error in processing payment. Please try again or contact us."
"Title","Title"
"UATP","UATP"
"Year","Year"
