"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Availability: Out of stock."
"Canceled","Canceled"
"Date","Date"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Downloadable Information","Downloadable Information"
"Downloadable Product","Downloadable Product"
"Downloadable Product Options","Downloadable Product Options"
"Downloadable product","Downloadable product"
"Excl. Tax","Excl. Tax"
"Gift Message","Gift Message"
"Incl. Tax","Incl. Tax"
"My Downloadable Products","My Downloadable Products"
"Order #","Order #"
"Order state","Order state"
"Ordered","Ordered"
"Refunded","Refunded"
"Remaining Downloads","Remaining Downloads"
"Remove item","Remove item"
"Shareable","Shareable"
"Shipped","Shipped"
"Status","Status"
"Title","Title"
"View Order","View Order"
