"API Gateway URL","API Gateway URL"
"Accepted currency","Accepted currency"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Customer ID","Customer ID"
"Customer successfully returned from eWAY","Customer successfully returned from eWAY"
"Customer was redirected to eWAY.","Customer was redirected to eWAY."
"Customer was rejected by eWAY","Customer was rejected by eWAY"
"Debug Flag","Debug Flag"
"Enabled","Enabled"
"New order status","New order status"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Selected currency code (","Selected currency code ("
"Sort order","Sort order"
"There has been an error processing your payment.","There has been an error processing your payment."
"There has been an error processing your payment. Please try later or contact us for help.","There has been an error processing your payment. Please try later or contact us for help."
"Title","Title"
"Use Beagle Anti-Fraud","Use Beagle Anti-Fraud"
"You will be redirected to eWAY 3D-Secure in a few seconds.","You will be redirected to eWAY 3D-Secure in a few seconds."
"You will be redirected to eWAY in a few seconds.","You will be redirected to eWAY in a few seconds."
"eWAY 3D-Secure","eWAY 3D-Secure"
"eWAY Direct","eWAY Direct"
"eWAY Shared","eWAY Shared"
