"Account number","Account number"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Debug Flag","Debug Flag"
"Demo mode","Demo mode"
"Enabled","Enabled"
"Flo2Cash Payment Web Service","Flo2Cash Payment Web Service"
"For Authorize or Capture Transactions only","For Authorize or Capture Transactions only"
"For Purchase Transactions only","For Purchase Transactions only"
"New order status","New order status"
"Password","Password"
"Payment Action","Payment Action"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Sort order","Sort order"
"Title","Title"
"Username","Username"
