" and "," and "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolute path or Relative to Magento install root, ex. var/export)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(If left empty will be auto-generated)"
"(Leave empty for first spreadsheet)","(Leave empty for first spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\\t for tab)","(\\t for tab)"
"-- Please Select --","-- Please Select --"
"API:","API:"
"Account Created in:","Account Created in:"
"Account Created on:","Account Created on:"
"Account Registration","Account Registration"
"Action","Action"
"Actions","Actions"
"Add Contents Path","Add Contents Path"
"Add Maintainer","Add Maintainer"
"Add New Role","Add New Role"
"Add New Template","Add New Template"
"Add New User","Add New User"
"Add PHP Extension dependency","Add PHP Extension dependency"
"Add Package dependency","Add Package dependency"
"Add Subpackage dependency","Add Subpackage dependency"
"Address Type:","Address Type:"
"All","All"
"All Websites","All Websites"
"All fields","All fields"
"All fields of script types have to be filled.","All fields of script types have to be filled."
"Archive file name:","Archive file name:"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure that you want to strip tags?","Are you sure that you want to strip tags?"
"Attribute Set Name:","Attribute Set Name:"
"Big Image","Big Image"
"Billing Address","Billing Address"
"Bundle Items","Bundle Items"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"CSV / Tab separated","CSV / Tab separated"
"Card Verification Number","Card Verification Number"
"Catalog","Catalog"
"Category View Optimization","Category View Optimization"
"Channel","Channel"
"Channel:","Channel:"
"Choose Store View","Choose Store View"
"Click on image to download","Click on image to download"
"Comments History","Comments History"
"Confirmed email:","Confirmed email:"
"Connect with the Magento Community","Connect with the Magento Community"
"Contents","Contents"
"Control Script","Control Script"
"Conversion Page","Conversion Page"
"Conversion Page URL","Conversion Page URL"
"Conversion Script","Conversion Script"
"Country:","Country:"
"Credit Card Number","Credit Card Number"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Current Configuration Scope:","Current Configuration Scope:"
"Current Release Information","Current Release Information"
"Custom","Custom"
"Customer Group:","Customer Group:"
"Customer Since:","Customer Since:"
"Customers","Customers"
"Dashboard","Dashboard"
"Data Format","Data Format"
"Data transfer:","Data transfer:"
"Date selector","Date selector"
"Date:","Date:"
"Decimal separator:","Decimal separator:"
"Default (Admin) Values","Default (Admin) Values"
"Default Values","Default Values"
"Delete","Delete"
"Dependencies","Dependencies"
"Description:","Description:"
"Direction:","Direction:"
"Done By:","Done By:"
"Done by:","Done by:"
"Download Remote File","Download Remote File"
"Edit Role","Edit Role"
"Edit User '%s'","Edit User '%s'"
"Email","Email"
"Email Preview","Email Preview"
"Email:","Email:"
"Enclose Values In:","Enclose Values In:"
"Entity type:","Entity type:"
"Exclude","Exclude"
"Expiration Date","Expiration Date"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"Export","Export"
"Export Filters","Export Filters"
"Export to:","Export to:"
"Export:","Export:"
"Extension","Extension"
"Extensions","Extensions"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Field Mapping"
"File Information","File Information"
"File name:","File name:"
"Final Price","Final Price"
"First Name:","First Name:"
"From","From"
"Get help for this page","Get help for this page"
"Global Record Search","Global Record Search"
"Google Optimizer Scripts","Google Optimizer Scripts"
"Group:","Group:"
