"(Make sure you keep it in a safe place.)","(Make sure you keep it in a safe place.)"
"Base Path","Base Path"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more)."
"Check out our","Check out our"
"Check this box only if you are unable to automatically validate Magento URL, for example if HTTP authentication is required.","Check this box only if you are unable to automatically validate Magento URL, for example if HTTP authentication is required."
Configuration,Configuration
"Configuration options","Configuration options"
"Confirm Password","Confirm Password"
Connection,Connection
Continue,Continue
"Create Admin Account","Create Admin Account"
"Database Connection","Database Connection"
"Database connection error","Database connection error"
"Database host","Database host"
"Database Name","Database Name"
"Database user name","Database user name"
"Database user password","Database user password"
"Default Currency","Default Currency"
"Default store","Default store"
Email,Email
"Email Address","Email Address"
"Encryption Key","Encryption Key"
"First Name","First Name"
"For HTTP connections, the default port is 80.","For HTTP connections, the default port is 80."
"For HTTPS connections, the default port is 443.","For HTTPS connections, the default port is 443."
"Get ready to experience Open-Source eCommerce Evolved.","Get ready to experience Open-Source eCommerce Evolved."
"Go to Backend","Go to Backend"
"Go to Frontend","Go to Frontend"
"Having trouble installing Magento?","Having trouble installing Magento?"
Host,Host
"Host name","Host name"
"I agree to the above terms and conditions","I agree to the above terms and conditions"
Installation,Installation
"Installation Guide","Installation Guide"
"Last Name","Last Name"
Locale,Locale
"Locale settings","Locale settings"
Localization,Localization
"Login Information","Login Information"
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encription key for you and will display it on the next page.","Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encription key for you and will display it on the next page."
"One from PHP Extensions ""%s"" must be loaded","One from PHP Extensions ""%s"" must be loaded"
Password,Password
"Password Confirmation","Password Confirmation"
"Path ""%s"" must be writable","Path ""%s"" must be writable"
"Personal Information","Personal Information"
"PHP Extension ""%s"" must be loaded","PHP Extension ""%s"" must be loaded"
"PHP Extension '%s' loaded","PHP Extension '%s' loaded"
"Please set all required settings before clicking Continue","Please set all required settings before clicking Continue"
Port,Port
Protocol,Protocol
"Required Fields","Required Fields"
"Secure Base Path","Secure Base Path"
"Secure Connection","Secure Connection"
"Secure Host","Secure Host"
"Secure host name","Secure host name"
"Secure Port","Secure Port"
"Secure Protocol","Secure Protocol"
"Secure www base path","Secure www base path"
"Skip URL validation","Skip URL validation"
"This Url is invalid","This Url is invalid"
"Time Zone","Time Zone"
"Url ""%s"" is invalid","Url ""%s"" is invalid"
"Url ""%s"" is not accessible","Url ""%s"" is not accessible"
"User Name","User Name"
"User Password","User Password"
Username,Username
"Welcome to Magento's Installation Wizard","Welcome to Magento's Installation Wizard"
"WWW base path","WWW base path"
"You're All Set","You're All Set"
