"%s Item(s)","%s Item(s)"
"(ver. %s)","(ver. %s)"
"Close Window","Close Window"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Items %s to %s of %s total","Items <strong>%s</strong> to <strong>%s</strong> of <strong>%s</strong> total"
"Magento&trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007","Magento&trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007"
"Magento Commerce Demo Store","Magento Commerce Demo Store"
"Next Page","Next Page"
"Page:","Page:"
"per page","per page"
"Previous Page","Previous Page"
"Report All Bugs","Report All Bugs"
"Search Terms","Search Terms"
"Show","Show"
"Site Map","Site Map"
"Skip to Main Content","Skip to Main Content"
"Welcome, %s!","Welcome, %s!"
"You're currently on:","You're currently on:"
