"American Express","American Express"
"April","April"
"August","August"
"Card Type","Card Type"
"Card Verification Number","Card Verification Number"
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"December","December"
"Discover","Discover"
"Expiration Date","Expiration Date"
"February","February"
"January","January"
"July","July"
"June","June"
"March","March"
"Master Card","Master Card"
"May","May"
"Month","Month"
"Name on Card","Name on Card"
"November","November"
"October","October"
"Please select credit card type","Please select credit card type"
"Purchase Order Number","Purchase Order Number"
"September","September"
"Visa","Visa"
"What is this?","What is this?"
"Year","Year"
