"Amex","Amex"
"Authorization","Authorization"
"Billing Information","Billing Information"
"Change Payment Method","Change Payment Method"
"Change Shipping Address","Change Shipping Address"
"Discover","Discover"
"Edit Shopping Cart","Edit Shopping Cart"
"Invalid data","Invalid data"
"Items in Your Shopping Cart","Items in Your Shopping Cart"
"MasterCard","MasterCard"
"N/A","N/A"
"Order","Order"
"Payment Method","Payment Method"
"PayPal Account","PayPal Account"
"Paypal Checkout","Paypal Checkout"
"Place an Order","Place an Order"
"Please select a shipping method...","Please select a shipping method..."
"Please select a valid shipping method","Please select a valid shipping method"
"Price","Price"
"Problem during communication with PayPal","Problem during communication with PayPal"
"Product Name","Product Name"
"Qty","Qty"
"Review Order","Review Order"
"Sale","Sale"
"Shipping Address","Shipping Address"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Subtotal","Subtotal"
"There was an error connecting to the Paypal server: %s","There was an error connecting to the Paypal server: %s"
"There was an error during communication with Paypal: %s - %s","There was an error during communication with Paypal: %s - %s"
"Unknown PayPal API error: %s","Unknown PayPal API error: %s"
"Update Shipping Method","Update Shipping Method"
"Visa","Visa"
"Your billing address will be ignored and you will be redirected to PayPal website","Your billing address will be ignored and you will be redirected to PayPal website"
