"AUTHORISE","AUTHORISE"
"Cannot save invoice for order ","Cannot save invoice for order "
"Customer successfully returned from Protx","Customer successfully returned from Protx"
"Customer was redirected to Protx","Customer was redirected to Protx"
"Customer was returned from Protx.","Customer was returned from Protx."
"DEFERRED","DEFERRED"
"Debug","Debug"
"Description","Description"
"Enabled","Enabled"
"Invoice was created for order ","Invoice was created for order "
"Live","Live"
"Mode","Mode"
"New order status","New order status"
"Order ","Order "
"Order total amount does not match protx gross total amount","Order total amount does not match protx gross total amount"
"PAYMENT","PAYMENT"
"Payment Action","Payment Action"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Protx Standard","Protx Standard"
"Simulator","Simulator"
"Sort order","Sort order"
"Test","Test"
"Title","Title"
"Vendor encrypted password","Vendor encrypted password"
"Vendor name","Vendor name"
"You will be redirected to protx in a few seconds.","You will be redirected to protx in a few seconds."
