"equals or greater than","equals or greater than"
FALSE,FALSE
TRUE,TRUE
"ALL","ALL"
"ANY","ANY"
"by","by"
"contains","contains"
"Description: %s","Description: %s"
"does not contain","does not contain"
"equals or less than","equals or less than"
"Expire at: %s","Expire at: %s"
"greater than","greater than"
"If %s of these conditions are %s:","If %s of these conditions are %s:"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"Name: %s","Name: %s"
"Perform following actions","Perform following actions"
"Please choose a condition to add...","Please choose a condition to add..."
"Please choose an action to add...","Please choose an action to add..."
"Start at: %s","Start at: %s"
"to","to"
