BACRHR,BACRHR,missing
"Billing Address","Billing Address","duplicate (45-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/details.phtml, 39-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/view.phtml)"
Canceled,Canceled,"duplicate (136-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Order/Item.php, 155-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Invoice.php)"
Date,Date,"duplicate (32-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/recent.phtml, 31-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/history.phtml)"
Discount,Discount,"duplicate (29-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Entity/Quote/Address/Attribute/Frontend/Discount.php, 56-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Quote/Address/Total/Discount.php)"
"Grand Total","Grand Total","duplicate (29-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Entity/Quote/Address/Attribute/Frontend/Grand.php, 29-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Quote/Address/Total/Grand.php, 90-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/view.phtml)"
"Items Ordered","Items Ordered","duplicate (68-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/details.phtml, 47-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/view.phtml)"
"My Orders","My Orders","duplicate (47-/home/vasily/dev/magento/app/code/core/Mage/Sales/Block/Order/History.php, 23-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/history.phtml)"
"Order #","Order #","duplicate (31-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/recent.phtml, 30-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/history.phtml)"
"Order Subtotal","Order Subtotal","duplicate (95-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/details.phtml, 74-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/view.phtml)"
"Order Total","Order Total","duplicate (34-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/recent.phtml, 33-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/history.phtml)"
"Payment Method","Payment Method","duplicate (62-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/details.phtml, 43-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/view.phtml)"
Pending,Pending,"duplicate (132-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Order/Item.php, 153-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Invoice.php)"
Price,Price,"duplicate (73-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/details.phtml, 52-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/view.phtml)"
"Product Name","Product Name","duplicate (72-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/details.phtml, 51-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/view.phtml)"
"Qty Ordered","Qty Ordered","duplicate (74-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/details.phtml, 53-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/view.phtml)"
"Qty Shipped","Qty Shipped","duplicate (75-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/details.phtml, 54-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/view.phtml)"
Returned,Returned,"duplicate (135-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Order/Item.php, 58-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Invoice/Shipment.php)"
"Ship to","Ship to","duplicate (33-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/recent.phtml, 32-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/history.phtml)"
Shipped,Shipped,"duplicate (133-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Order/Item.php, 57-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Invoice/Shipment.php)"
"Shipping & Handling","Shipping & Handling","duplicate (31-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Entity/Quote/Address/Attribute/Frontend/Shipping.php, 62-/home/vasily/dev/magento/app/code/core/Mage/Sales/Model/Quote/Address/Total/Shipping.php)"
"Shipping Address","Shipping Address","duplicate (35-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/details.phtml, 29-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/view.phtml)"
"Shipping Method","Shipping Method","duplicate (58-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/details.phtml, 33-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales/order/view.phtml)"
