"To Fixed Value","To Fixed Value"
"Attribute Set","Attribute Set"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Conditions combination","Conditions combination"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Description: %s","Description: %s"
"Expire at: %s","Expire at: %s"
"Invalid item entity","Invalid item entity"
"Name: %s","Name: %s"
"Price in cart","Price in cart"
"Product attribute combination","Product attribute combination"
"Quantity in cart","Quantity in cart"
"Row total in cart","Row total in cart"
"Special price","Special price"
"Start at: %s","Start at: %s"
"To Percentage","To Percentage"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Update the Product"
