"Add Tags","Add Tags"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Add Your Tags:","Add Your Tags:"
"All Tags","All Tags"
"Are you sure you want to delete this tag?","Are you sure you want to delete this tag?"
"Click on a tag to view your corresponding products.","Click on a tag to view your corresponding products."
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Delete Tag","Delete Tag"
"Edit Tag","Edit Tag"
"Grid","Grid"
"List","List"
"My Recent Tags","My Recent Tags"
"My Tags","My Tags"
"Name","Name"
"No matches found.","No matches found."
"Other people marked this product with these tags:","Other people marked this product with these tags:"
"Popular Tags","Popular Tags"
"Price","Price"
"Products tagged with '%s'","Products tagged with '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Products tagged with '%s' (<a href='%s'>RSS</a>)"
"Product Tags","Product Tags"
"Save Tag","Save Tag"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Search Results for '%s' (<a href='%s'>RSS</a>)"
"Tag","Tag"
"Tag Name: %s","Tag Name: <strong>%s</strong>"
"Tags:","Tags:"
"Tags Aren't Available","Tags Aren't Available"
"Thank you. Your tag has been accepted for moderation.","Thank you. Your tag has been accepted for moderation."
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Unable to save tag(s)","Unable to save tag(s)"
"Unable to save your tag. Please, try again later.","Unable to save your tag. Please, try again later."
"Use spaces to separate tags. Use single quotes (') for phrases.","Use spaces to separate tags. Use single quotes (') for phrases."
"View All Tags","View All Tags"
"You have not tagged any products yet.","You have not tagged any products yet."
"Your tag(s) have been submitted","Your tag(s) have been submitted"
"You tag was successfully deleted","You tag was successfully deleted"
"You tag was successfully saved","You tag was successfully saved"
