"1 Day Freight","1 Day Freight","redundant (472 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"2 Day Freight","2 Day Freight","redundant (473 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
2Day,2Day,"redundant (467 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"2nd Day Air","2nd Day Air","redundant (262 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"2nd Day Air AM","2nd Day Air AM","redundant (260 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"2nd Day Air AM Letter","2nd Day Air AM Letter","redundant (261 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"2nd Day Air Letter","2nd Day Air Letter","redundant (263 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"3 Day Freight","3 Day Freight","redundant (474 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"3 Day Select","3 Day Select","redundant (264 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"All Services","All Services","redundant (300 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Bound Printed Matter","Bound Printed Matter","redundant (296 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Business Service Center","Business Service Center","redundant (486 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"Canada Standard","Canada Standard","redundant (268 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
Commercial,Commercial,"redundant (310 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Customer Counter","Customer Counter","redundant (282 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Customer Packaging","Customer Packaging","redundant (295 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Drop Box","Drop Box","redundant (485 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"Europe First Priority","Europe First Priority","redundant (479 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
Express,Express,"redundant (263 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Dhl.php)"
"Express Mail","Express Mail","redundant (295 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Express Saver","Express Saver","redundant (468 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"FedEx 10kg Box","FedEx 10kg Box","redundant (495 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"FedEx 25kg Box","FedEx 25kg Box","redundant (496 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"FedEx Box","FedEx Box","redundant (493 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"FedEx Envelope","FedEx Envelope","redundant (491 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"FedEx Pak","FedEx Pak","redundant (492 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"FedEx Tube","FedEx Tube","redundant (494 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"First Overnight","First Overnight","redundant (466 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
First-Class,First-Class,"redundant (293 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
Flat,Flat,"redundant (349 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Flat Rate Box","Flat Rate Box","redundant (355 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Flat Rate Envelope","Flat Rate Envelope","redundant (356 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
Ground,Ground,"redundant (265 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Ground Commercial","Ground Commercial","redundant (266 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Ground Residential","Ground Residential","redundant (267 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
