"Add All to Cart","Add All to Cart","duplicate (47-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/shared.phtml, 68-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/view.phtml)"
"Add to Cart","Add to Cart","duplicate (29-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/email/items.phtml, 40-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/shared.phtml, 39-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/sidebar.phtml, 57-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/view.phtml)"
"Cannot create wishlist","Cannot create wishlist","duplicate (49-/home/vasily/dev/magento/app/code/core/Mage/Wishlist/controllers/IndexController.php, 67-/home/vasily/dev/magento/app/code/core/Mage/Wishlist/controllers/IndexController.php)"
Comment,Comment,"duplicate (28-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/shared.phtml, 36-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/view.phtml)"
"My Wishlist","My Wishlist","duplicate (37-/home/vasily/dev/magento/app/code/core/Mage/Wishlist/Block/Customer/Wishlist.php, 42-/home/vasily/dev/magento/app/code/core/Mage/Wishlist/Block/Links.php, 22-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/view.phtml)"
"Please, enter your comments...","Please, enter your comments...","duplicate (50-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/view.phtml, 83-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/view.phtml, 86-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/view.phtml)"
Product,Product,"duplicate (26-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/shared.phtml, 35-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/view.phtml)"
"Remove Item","Remove Item","duplicate (35-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/sidebar.phtml, 59-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/view.phtml)"
"Share Wishlist","Share Wishlist","duplicate (67-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/view.phtml, 37-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/sharing.phtml)"
"You have no items in your wishlist.","You have no items in your wishlist.","duplicate (47-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/sidebar.phtml, 73-/home/vasily/dev/magento/app/design/frontend/default/default/template/wishlist/view.phtml)"
