"%1$s has been added to your wishlist.","%1$s has been added to your wishlist."
"%s was added to your shopping cart.","%s was added to your shopping cart."
"...","..."
"A Catalog Only App will not support functions such as add to cart or add to wishlist or login","A Catalog Only App will not support functions such as add to cart or add to wishlist or login"
"A new password has been sent.","A new password has been sent."
"Account","Account"
"Account confirmation is required. Please, check your email for the confirmation link.","Account confirmation is required. Please, check your email for the confirmation link."
"Activate","Activate"
"Activate paypal checkout","Activate paypal checkout"
"Activation Key","Activation Key"
"Add Application","Add Application"
"Add more Templates","Add more Templates"
"Add page","Add page"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Adddress data not specified.","Adddress data not specified."
"Additional Address","Additional Address"
"Advanced Settings","Advanced Settings"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"An error occurred while deleting the address.","An error occurred while deleting the address."
"An error occurred while removing item from wishlist.","An error occurred while removing item from wishlist."
"An error occurred while removing items from wishlist.","An error occurred while removing items from wishlist."
"Aplication code required.","Aplication code required."
"Aplication with specified code no longer exists.","Aplication with specified code no longer exists."
"App Name","App Name"
"Application Background","Application Background"
"Application Code","Application Code"
"Application Information","Application Information"
"Application Name","Application Name"
"Application Submission History","Application Submission History"
"Application Title","Application Title"
"Application has been deleted.","Application has been deleted."
"Application has been saved.","Application has been saved."
"Application has been submitted.","Application has been submitted."
"Application model not loaded.","Application model not loaded."
"Application with id ""%s"" no longer exists.","Application with id ""%s"" no longer exists."
"Apply Theme","Apply Theme"
"Apply will automatically resize this image for display in the App Store and on users’ devices.  A gloss (i.e. gradient) will also be applied, so you do not need to apply a gradient.  Image must be at least 512x512","Apply will automatically resize this image for display in the App Store and on users’ devices.  A gloss (i.e. gradient) will also be applied, so you do not need to apply a gradient.  Image must be at least 512x512"
"Authentification complete.","Authentification complete."
"Back","Back"
"Back to App Edit","Back to App Edit"
"Background Color","Background Color"
"Banner on Home Screen","Banner on Home Screen"
"Billing address was successfully set.","Billing address was successfully set."
"Can\'t open submission form.","Can\'t open submission form."
"Can\'t submit application.","Can\'t submit application."
"Can\'t write to file ""%s"".","Can\'t write to file ""%s""."
"Can\t copy file ""%s"" to ""%s"".","Can\t copy file ""%s"" to ""%s""."
"Cannot Reset Theme.","Cannot Reset Theme."
"Cannot Save Theme.","Cannot Save Theme."
"Cannot add item to shopping cart.","Cannot add item to shopping cart."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Cannot create wishlist.","Cannot create wishlist."
"Cannot load theme ""%s"".","Cannot load theme ""%s""."
"Cannot remove the item.","Cannot remove the item."
"Cannot save address.","Cannot save address."
"Cannot save the customer.","Cannot save the customer."
"Cannot save theme ""%s"". Incorrect data received","Cannot save theme ""%s"". Incorrect data received"
"Cannot show configuration.","Cannot show configuration."
"Cannot specify product","Cannot specify product"
"Cannot update shopping cart.","Cannot update shopping cart."
"Card Verification Number","Card Verification Number"
"Carrier","Carrier"
"Cart","Cart"
"Cart has some errors.","Cart has some errors."
"Cart was successfully updated.","Cart was successfully updated."
"Catalog Only App?","Catalog Only App?"
"Category Button Color","Category Button Color"
"Category Item Background Color","Category Item Background Color"
"Category1","Category1"
"Category2","Category2"
"Category3","Category3"
"Checkout was successfully initialized.","Checkout was successfully initialized."
"Code","Code"
"Color Themes","Color Themes"
"Colors","Colors"
"Contact Email","Contact Email"
"Content","Content"
"Copyright","Copyright"
"Copyright page logo","Copyright page logo"
"Country","Country"
"Coupon code %s is not valid.","Coupon code %s is not valid."
"Coupon code %s was applied.","Coupon code %s was applied."
"Coupon code is empty.","Coupon code is empty."
"Coupon code was canceled.","Coupon code was canceled."
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"Credit card number does not match credit card type","Credit card number does not match credit card type"
"Custom Colors","Custom Colors"
"Custom application icon","Custom application icon"
"Customer authentification problem.","Customer authentification problem."
"Customer email not specified.","Customer email not specified."
"Customer logout problem.","Customer logout problem."
"Customer not loggined.","Customer not loggined."
"Date Submitted","Date Submitted"
