"SKU","SKU"
"Category","Catégorie"
"Please select static block ...","Veuillez sélectionner un bloc statique ..."
"Static block and products","Bloc statique et produits"
"Go to Home Page","Allez à la page d'accueil"
"Images","Images"
"Small Image","Petite image"
"Products only","Produits seulement"
"Meta Keywords","Mots clefs méta"
"Data integrity: No header row found for attribute","Intégrité des données : Aucune ligne d'en-tête trouvée pour l'attribut"
"Page Title","Titre de la page"
"Status","Statut"
"Description","Description"
"Cannot retrieve current category object","Impossible de retrouver l'objet de la catégorie courante"
"Tier Price","Prix par paliers "
"Price","Prix"
"Meta Title","Méta titre"
"Static block only","Bloc statique uniquement"
"Visibility","Visibilité"
"Thumbnail","Miniature"
"Filter model name must be declared","Le nom du modèle de filtre doit être déclaré"
"Filter must be as object. Set correct filter please","Le filtre doit être un objet. Veuillez utiliser un filtre correct"
"Base Image","Image de base"
"Prices","Prix"
"Grid","Grille"
"Is Qty Decimal","Est une quantité décimale"
"Manufacturer","Fabriquant"
"Page Layout","Agencement de la page"
"Best Value","Meilleure valeur"
"Name","Nom"
"Invalid Attribute Requested","Attribut requis non valide"
"Meta Description","Description méta"
"Short Description","Description courte"
"Is Anchor","Est une ancre"
"List","Liste"
"Filters must be as array","Les filtres doivent être des tableaux"
"Meta Information","Information méta"
"No layout updates","Pas de modification de l'agencement"
"General","Général"
"Compare Products List","Comparer la liste des produits"
"Invalid block: %s","Bloc non valide: %s"
"CMS Block","Bloc CMS"
"Attribute source ""%s"" not found","La source de l'attribut ""%s"" n'a pas été trouvée"
"All","Tous"
"Qty","Quantité"
"Attribute model not defined","Modèle d'attribut non défini "
"Weight","Poids"
"Color","Couleur"
"URL key","Clef URL"
"Image","Image"
"Choose option...","Choisissez une option..."
"Is Active","Est actif"
"Cost","Coût"
"Image Gallery","Galerie d'image"
"Display Mode","Mode d'affichage"
"Attribute saver ""%s"" not found","Économiseur d'attribut ""%s"" non trouvé"
"Home","Accueil"
"Tax Class","Classe de taxe"
"Minimal Price","Prix minimum"
"Special Price:","Prix promotionnel:"
"Add to Compare","Ajouter au comparateur"
"Clear All Items","Effacer tous les articles"
"Availability: In stock. Ships within 24hours.","Disponibilité: en stock. Livré en 24 heures."
"Next","Suivant"
"Quick Overview","Aperçu rapide"
"Add to My Wishlist","Ajouter à ma liste d'envies"
"Add Items to Cart","Ajouter les articles au panier"
"Related Products","Produits apparentés"
"See all %s","Voir tous les %s"
"Best Selling Products","Meilleures ventes"
"Product Attribute Specs","Spécifications d'attribut de produit"
"Prev","Précédent"
"Choose an Option...","Choisissez une option..."
"View as","Afficher en"
"This bundle is out of stock.","Ce lot est épuisé"
"Shopping Options","Options d'achat"
"Compare Products","Comparer des produits"
"Product Description","Description du produit"
"Remove This Item","Supprimer cet article"
"Shop by","Acheté par"
"More Views","Plus de vues"
"There are no products matching the selection.","Aucun produit ne correspond à la sélection"
"Remove Product","Retirer le produit"
"Product Name","Nom du produit"
"Availability: Out of stock.","Disponibilité: épuisé."
"Page:","Page:"
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
"Buy %s for %s each","Achetez-en %s à <strong>%s</strong> pièce"
"Compare Items","Comparer les articles"
"Zoom In","Zoom avant"
"Add to Cart","Ajouter au panier"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"Zoom Out","Zoom arrière"
"Items %s to %s of %s total","Total des articles de <strong>%s</strong> à <strong>%s</strong> sur <strong>%s</strong>"
"Regular Price:","Prix normal:"
"Print This Page","Imprimer cette page"
"Old Price:","Ancien prix:"
"Compare Products - %d Items","Comparer les produits <span class=""count"">- %d articles</span>"
"Sort by","Trier par"
"Availability: In stock. Ships within 24 hours.","Disponibilité: en stock. Livré en 24 heures."
"Add to Wishlist","Ajouter à ma liste d'envies"
"View Details","Voir les détails"
"Browse By","Consulter par"
"Out of Stock","Épuisé"
"Check items to add to the cart or select all.","Sélectionnez les articles à ajouter au panier ou <a href=""#"" onclick=""selectAllRelated();return false;"">sélectionnez les tous</a>."
"Show","Afficher"
"per page","par page"
"Close Window","Fermer la fenêtre"
"Set Ascending Direction","Par ordre croissant"
"Cross-sell Products","Produits croisés"
"Learn More","En savoir plus"
"Category Navigation:","Navigation dans la catégorie:"
"Set Descending Direction","Par ordre décroissant"
"You may also be interested in the following product(s)","Vous pourriez également être intéressé par le(s) produit(s) suivant(s)"
"Additional Information","Information complémentaire"
"Previous","Précédent"
"Currently Shopping by","Actuellement acheté par"
"OR","OU"
"%s Item(s)","%s article(s)"
"Add Recipient","Ajouter destinataire"
"and","et"
"Array of Entity collections is expected","Un tableau de collections d'entités est attendu"
"Categories","Catégories"
"Categories Sitemap","Plan des catégories du site"
"Disabled","Désactivé"
"Email:","Email:"
"Email Address","Adresse mail"
"Email Address:","Adresse mail:"
"Email to %s does not sent.","Le mail à %s n'est pas envoyé"
"Email to a Friend","Envoyer à un ami"
"Enabled","Activé"
"Entity collection is expected","Une collection d'entités est attendue"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option: %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Option spécifiée non valide pour l'attribut %s (%s), enregistrement ignoré"
"Invalid attribute set specified, skipping the record","Jeu d'attributs spécifié non valide, enregistrement ignoré"
"Invalid option id specified for %s (%s), skipping the record","Identifiant d'option spécifié non valide pour %s (%s), enregistrement ignoré"
"Invalid product type specified, skipping the record","Type de produit spécifié non valide, enregistrement ignoré"
"Invalid store specified, skipping the record","Magasin spécifié non valide, enregistrement ignoré"
"Invalid transactional email code","Code email transactionnel non valide"
"Link to a friend was sent.","Le lien a été envoyé à un ami."
"Message:","Message:"
"Missing SKU, skipping the record","SKU manquant, enregistrement ignoré"
"Name:","Nom:"
"No product collections found","Aucune collection de produits trouvée"
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection, opération annulée. Erreur: %s"
"Product %s successfully added to compare list","Le produit %s a été ajouté à la liste de comparaison"
"Product collection expected","Collection de produits attendue"
"Products","Produits"
"Products Sitemap","Plan des produits du site"
"Recipient:","Destinataire:"
"Records for ""","Enregistrements pour """
"Remove Email","Supprimer email"
"save %s%%","économisez %s%%"
"Saved ","Enregistré"
"Send email","Envoyer l'email"
"Sender:","Expéditeur:"
"SKU","SKU"
"There is no ","Il n'y a pas de "
"Unknown attribute: %s","Attribut inconnu: %s"
