"To Fixed Value","nouveau prix"
"Customer registered: %s","Le client s'est inscrit: %s"
"Rule price","prix"
"Customer is new buyer: %s","Le client est un nouvel acheteur: %s"
"By Fixed value","remise d'une valeur de"
"Update the Product","Mettre à jour le produit"
"To Percentage","nouveau prix (en \%)"
"Attribute Set","Ensemble d'attributs"
"Start at: %s","Commencer à: %s"
"By Percentage","remise (en \%)"
"Expire at: %s","Expire le: %s"
"Name: %s","Nom: %s"
"Update product's %s %s: %s","Modifier le %s du produit: %s: %s"
"Product Attribute","Attribut du produit"
"Conditions Combination","Combinaison de conditions "
"Description: %s","Description: %s"
