"%s and greater","%s and greater"
"All","Tous"
"Autogenerated site map","Autogenerated site map"
"Catalog Advanced Search","Recherche avancée dans le catalogue"
"Go to Home Page","Allez à la page d'accueil"
"Grid","Grille"
"Home","Accueil"
"List","Liste"
"Name","Nom"
"Popular Search Terms","Termes de recherche populaires"
"Popular search terms","Popular search terms"
"Price","Prix"
"Required Fields","Champs obligatoires"
"Results","Résultats"
"Search","Recherche"
"Search Settings","Paramètres de recherche"
"Search Site","Rechercher sur le site"
"Search results for '%s'","Résultats de recherche pour '%s'"
"Search results for: '%s'","Résultats de recherche pour: '%s'"
"There is no popular search term.","Il n'y a pas de terme de recherche populaire."
"You have to specify at least one search criteria","You have to specify at least one search criteria"
"Your search returns no results.","Aucun résultat pour votre recherche."
"up to %s","up to %s"
