"""%s"" coupon code is not valid.","""%s"" coupon code is not valid."
"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"&laquo; Back to Billing Information","&laquo; Retour aux informations de facturation"
"&laquo; Back to Select Addresses","&laquo; Retour à la sélection d'adresses"
"&laquo; Back to Shopping Cart","&laquo; Retour au panier"
"* Required Fields","* Champs obligatoires"
"Add New Address","Ajouter une nouvelle adresse"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'envies"
"Address","Adresse"
"Address %s of %s","Adresse <span class=""shipment-count"">%s</span> de %s"
"Already registered?","Déjà enregistré ?"
"Apply Coupon","Utiliser un bon de réduction"
"Are you sure you would like to remove this item from the shopping cart?","Êtes-vous sûr de vouloir retirer cet article du panier ?"
"Back","Retour"
"Back to Shipping Information","Back to Shipping Information"
"Based on your selection, you may be interested in the following items:","D'après votre sélection, vous pourriez être intéressé(e) par les articles suivants:"
"Billing Address","Adresse de facturation"
"Billing Information","Informations de facturation"
"Billing Information - %s","Billing Information - %s"
"Can not add item to shopping cart","Impossible d'ajouter l'article au panier"
"Can not apply coupon code.","Can not apply coupon code."
"Cannot move item to wishlist","Impossible de mettre l'article dans votre liste d'envies"
"Cannot remove item","Impossible de retirer l'article"
"Cannot update shopping cart","Impossible de mettre à jour le panier"
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Payment Method","Modifier le mode de paiement"
"Change Shipping Address","Modifier l'adresse de livraison"
"Change Shipping Method","Modifier le mode de livraison"
"Checkout","Paiement"
"Checkout as Guest","Passez votre commande en tant qu'invité"
"Checkout as a Guest or Register","Passez votre commande en tant qu'invité ou enregistrez-vous"
"Checkout method","Mode de passage de commande"
"Checkout with Multiple Addresses","Passer la commande avec plusieurs adresses"
"City","Ville"
"Clear","Effacer"
"Click <a href=""%s"">here</a> to continue shopping","Click <a href=""%s"">here</a> to continue shopping"
"Close","Fermer"
"Company","Entreprise"
"Confirm Password","Confirmer votre mot de passe"
"Continue","Poursuivre"
"Continue Shopping","Poursuivre vos achats"
"Continue to Billing Information","Poursuivre vers les informations de facturation"
"Continue to Overview","Poursuivre vers la vue d'ensemble"
"Continue to Review Your Order","Poursuivre pour vérifier votre commande"
"Continue to Shipping Information","Poursuivre vers les informations de livraison"
"Continue to Success","Poursuivre et valider"
"Country","Pays"
"Coupon code was applied successfully.","Coupon code was applied successfully."
"Create Billing Address","Créer une adresse de facturation"
"Create Shipping Address","Créer une adresse de livraison"
"Data saving problem","Problème lors de la sauvegarde des données"
"Default Billing","Facturation par défaut"
"Default Shipping","Livraison par défaut"
"Discount Codes","Codes de remises"
"Done","Réalisé"
"Easy access to your order history and status","Accès facile vers votre historique et statut de commandes"
"Edit","Modifier"
"Edit Address","Éditer l'adresse"
"Edit Billing Address","Éditer l'adresse de facturation"
"Edit Items","Modifier les articles"
"Edit Shipping Address","Éditer l'adresse de livraison"
"Edit Your Cart","Modifiez votre panier"
"Email Address","Adresse mail"
"Enter a New Address","Saisissez une nouvelle adresse"
"Enter your coupon code if you have the one.","Saisissez votre code de bon de réduction si vous en avez un."
"Enter your destination to get a shipping estimate.","Entrez votre destination pour obtenir une estimation de livraison"
"Estimate Shipping and Tax","Estimer la livraison et la TVA"
"Fast and easy check out","Passage de commande rapide et facile"
"Fax","Fax"
"First Name","Prénom"
"Forgot an Item?","Vous avez oublié un article ?"
"Forgot your password?","Mot de passe oublié ?"
"Get a Quote","Obtenir une estimation"
"Go to Cart","Aller au panier"
"Grand Total:","Montant global:"
"Indefinite product type","Type de produit imprécis"
"Invalid data","Données non valides"
"Items","Articles"
"Last Name","Nom de famille"
"Last added items","Derniers articles ajoutés"
"Load customer quote error","Load customer quote error"
"Loading next step...","Chargement en cours de l'étape suivante..."
