"(eg: domain.com/identifier)","(ex: domaine.com/identifiant)"
"Action","Action"
"Add New Block","Ajouter un nouveau bloc"
"Add New Page","Ajouter une nouvelle page"
"All countries","Tous les pays"
"Block Information","Informations bloc"
"Block Title","Titre bloc"
"Block was successfully deleted","Block was successfully deleted"
"Block was successfully saved","Bloc sauvegardé avec succès"
"CMS","CMS"
"CMS Blocks","Blocs CMS"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","CMS No Route Page"
"CMS Pages","Pages CMS"
"Content","Contenu"
"Customer Tax Class Information","Informations de classe de TVA client"
"Date Created","Date de création"
"Delete Block","Supprimer le bloc"
"Delete Page","Supprimer la page"
"Description","Description"
"Disabled","Désactivé"
"Edit Block","Éditer le bloc"
"Edit Block '%s'","Éditer le bloc '%s'"
"Edit Page","Éditer la page"
"Edit Page '%s'","Éditer la page '%s'"
"Enabled","Activé"
"General Information","Informations générales"
"Go to Home Page","Aller à la page d'accueil"
"Home","Accueil"
"Identifier","Identificateur"
"Keywords","Mots clés"
"Last Modified","Modifié le"
"Layout","Agencement"
"Layout Update XML","XML de mise à jour d'agencement"
"Manage Blocks","Gérer les blocs"
"Manage Pages","Gestion des pages"
"Meta Data","Meta Data"
"Meta Description","Méta description"
"Meta Keywords","Mots-clés Meta"
"New Block","Nouveau bloc"
"New Page","Nouvelle page"
"Page Identifier for specified store","Identifiant de page pour le magasin spécifié"
"Page Information","Informations de la page"
"Page Status","Statut de la page"
"Page Title","Titre de page"
"Page was successfully deleted","Page supprimée avec succès"
"Page was successfully saved","La page a été sauvée avec succès"
"Poll Manager","Gestion des sondages"
"Preview","Prévisualiser"
"Product Tax Class Information","Information de la classe de TVA produit"
"SEF URL Identifier","Identifiant de réécriture d'URL"
"Save Block","Sauvegarder le bloc"
"Save Page","Sauvegarder la page"
"Show breadcrumbs for CMS pages","Show breadcrumbs for CMS pages"
"Static Blocks","Blocs statiques"
"Status","Statut"
"Store View","Store View"
"Such a block identifier in selected store","Un tel identificateur de bloc dans le magasin sélectionné"
"The page you are trying to save no longer exists","La page que vous êtes en train d'essayer de sauvegarder n'existe plus"
"This block no longer exists","Ce bloc n'existe plus"
"This page no longer exists","Cette page n'existe plus"
"Title","Titre"
"Unable to find a block to delete","Impossible de trouver un bloc à supprimer"
"Unable to find a page to delete","Impossible de trouver une page à supprimer"
