"Invalid block name to set child %s: %s","Nom de bloc non valide pour rattacher l'enfant %s: %s"
"Model class does not exist: %s","La classe modèle n'existe pas: %s"
"Empty field id name","Nom d'identifiant de champ vide"
"Invalid websites configuration path: %s","Chemin de configuration des sites web non valide: %s"
"Invalid store configuration path: %s","Chemin de configuration du magasin non valide: %s"
"%s already exist","%s existe déjà"
"Exception while deleting the object","Exception lors de la suppression de l'objet"
"Resource is not set","La ressource n'est pas configurée"
"Error in file: ""%s"" - %s","Erreur dans le fichier: ""%s"" - %s"
"Block with name ""%s"" already exists","Il existe déjà un bloc portant le nom ""%s"""
"Duplicate Of Template Code","Duplication du code de gabarit"
"Exception while saving the object: %s","Exception lors de la sauvegarde de l'objet: %s"
"Invalid base dir type specified: %s","Le type de répertoire de base spécifié est non valide: %s"
"Cannot Delete Email Template","Impossible d'effacer le gabarit de mail"
"Can't retrieve request object","Impossible de récupérer l'objet demandé"
"%s already exists","%s existe déjà"
"Can\'t retrieve entity config for entity: %s of model: %s","Impossible de récupérer la configuration de l'entité: %s du modèle: %s"
"Wrong number of arguments for %s","Nombre d'arguments erroné pour %s"
"Could not load default layout file","Impossible de charger le fichier d'agencement de page par défaut"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argument non valide pour la mise à jour d'agencement de page, Mage_Core_Model_Layout_Element attendu"
"Layout update handle not found: %s","Prise en charge de la mise à jour d'agencement de page non trouvée: %s"
"You need init translate area","Vous devez initialiser l'espace de traduction"
"Invalid block: %s","Bloc non valide: %s"
"Invalid block type: %s","Type de bloc non valide: %s"
"Invalid messages storage ""%s"" for layout messages initialization","Stockage des messages non valide ""%s"" pour l'initialisation des messages de l'agencement de page"
"Invalid transactional email code","Code de mail transactionnel non valide"
"Empty main table name","Nom de table principale vide"
"Select Store","Choisir un magasin"
"Controller file was loaded but class does not exist","Le fichier de controller a été chargé mais la classe n'existe pas"
"Invalid layout update handle","Manipulation de mise à jour de gabarit non valide"
"Package layout file (main.xml) could not be read.","Impossible de lire le fichier de gabarit (main.xml) du package."
"Please enter 6 or more characters.","Veuillez saisir 6 caractères ou plus"
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0"
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par ex. 100.00€"
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez saisir une adresse email valide. Par ex. johndoe@domain.com"
"Please enter a valid number in this field.","Veuillez saisir un nombre valide"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide. Par ex. 01 23 45 67 89"
"Please enter a valid social security number. For example 123-45-6789.","Veuillez saisir un numéro de sécurité sociale valide. Par exemple 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Veuillez saisir une URL valide. Par exemple http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Veuillez saisir une URL valide. Elle doit commencer par http://"
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple 90602 ou 90602-1234."
"Please enter valid password.","Veuillez saisir un mot de passe valide."
"Please make sure your passwords match.","Veuillez vérifier que vos mots de passe concordent."
"Please select an option.","Veuillez sélectionner une option."
"Please select one of the above options.","Veuillez sélectionner une des options ci-dessus."
"Please select one of the options.","Veuillez sélectionner une des options."
"Please select State/Province.","Veuillez sélectionner un état/région"
"Please use letters only (a-z) in this field.","Veuillez ne saisir que des lettres (a-z) dans ce champ."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Veuillez ne saisir que des nombres dans ce champ. Merci d'éviter les espaces ou autres caractères tels que points ou virgules."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez ne saisir que des lettres (a-z), des chiffres (0-9) ou underscore (_) dans ce champ. Le premier caractère doit être une lettre."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) ou des espaces ou des dièses (#) dans ce champ."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser le format de date suivant: jj/mm/aaaa. Par exemple, 17/03/2006 pour le 17 mars 2006."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"This is a required field.","Ce champ est obligatoire."
