"Allowed currencies","Allowed currencies"
"Base currency","Devise de base"
"Cannot retrieve rate from %s","Impossible de récupérer le taux de %s"
"Continue &raquo;","Continuer &raquo;"
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Currency","Devise"
"Currency Options","Currency Options"
"Currency Setup","Currency Setup"
"Default display currency","Default display currency"
"Enabled","Activé"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"FATAL ERROR:","FATAL ERROR:"
"Frequency","Frequency"
"Import Settings","Import Settings"
"Invalid Import Service Specified","Service d'import spécifié non valide"
"Invalid country code: %s","Code de pays non valide: %s"
"Invalid rates received","Taux reçus non valides"
"Invalid target currency","Invalid target currency"
"Select Your Currency","Choisissez votre devise"
"Service","Service"
"Start Time","Start Time"
"State/Province","État/Région"
"Unable to initialize import model","Impossible d'initialiser le modèle d'import"
"Undefined rate from ""%s-%s""","Taux indéfini de ""%s-%s"""
"WARNING:","WARNING:"
"Your current currency is: %s","Votre devise actuelle est: %s"
