"Invalid attribute type","Type d'attribut non valide"
"No","Non"
"Wrong entity ID","Identifiant d'entité erroné"
"Unknown parameter","Paramètre inconnu"
"Frontend label is not defined","Le libellé de front office n'est pas défini"
"Invalid data object key","Clé d'objet de données non valide"
"Default option value is not defined","La valeur d'option par défaut n'est pas définie"
"Data integrity: No header row found for attribute","Intégrité de données: aucune ligne d'en-tête trouvée pour l'attribut"
"Invalid condition","Condition non valide"
"Valid store_id is expected!","Un store_id valide est attendu !"
"Invalid entity supplied","Entité non valide fournie"
"Wrong attribute group ID","Identifiant de groupe d'attributs erroné"
"Wrong attribute set ID","Identifiant de jeu d'attributs erroné"
"Invalid store id supplied","Store_id fourni non valide"
"Invalid alias, already exists in joined attributes","Alias non valide, existe déjà dans les attributs liés"
"Value of attribute ""%s"" must be unique","La valeur de l'attribut ""%s"" doit être unique"
"Invalid foreign key","Clé étrangère non valide"
"Invalid character encountered in increment ID: %s","Caractère non valide trouvé dans l'ID d'incrément: %s"
"Invalid entity type","Type d'entité non valide"
"Attribute with the same code","Attribut avec le même code"
"Attempt to add an invalid object","Essaie d'ajouter un objet non valide"
"Invalid attribute requested: %s","Attribut non valide exigé: %s"
"Invalid object supplied","Objet fourni non valide"
"Joined field with this alias is already declared","Le champ joint avec cet alias est déjà déclaré"
"Entity's object is not initialized","L'objet d'entité n'est pas initialisé"
"Wrong attribute ID","Identifiant d'attribut erroné"
"Invalid attribute name: %s","Nom d'attribut non valide: %s"
"No connection available","Pas de connexion disponible"
"Yes","Oui"
"Entity is not initialized","L'entité n'est pas initialisée"
"Invalid entity type %s","Type d'entité non valide %s"
"No options root node found","Pas de noeud racine d'options trouvé"
"Entity collection expected","Collection d'entité attendue"
"Entity collections expected","Collections d'entité attendues"
"Invalid entity specified","Entité spécifiée non valide"
"Invalid entity supplied: %s","Entité fournie non valide: %s"
"Invalid entity_id, skipping the record","entity_id non valide, enregistrement ignoré"
"Invalid entity_type specified: %","entity_type non valide: %"
"Invalid entity_type specified: %s","entity_type non valide: %s"
"Invalid joined fields","Champs de jointure non valides"
"Invalid store specified","Magasin spécifié non valide"
"Joined field or attribute expression with this alias is already declared","Le champ joint ou l'expression d'attribut avec cet alias est déjà déclarée"
"Joined field with this alias (%s) is already declared","Le champ joint avec cet alias (%s) est déjà déclaré"
"Loaded ","Chargé"
"Problem loading a record, aborting. Error: %s","Problème lors du chargement de l'enregistrement. Annulation. Erreur: %s"
"Problem loading the collection, aborting. Error: %s","Problème lors du chargement de la collection. Annulation. Erreur: %s"
"Problem saving a record, aborting. Error: ","Problème lors de la sauvegarde de l'enregistrement. Annulation. Erreur: %s"
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection. Annulation. Erreur: %s"
"Saved ","Enregistré"
