"There was a problem with the un-subscription: %s","Il y a eu un problème lors de la désinscription: %s"
"Cannot delete subscriber","Impossible de supprimer l'abonné"
"Cannot mark as received subscriber","Impossible d'enregistrer comme abonné reçu"
"You have been successfully unsubscribed","Votre désinscription a été prise en compte"
"Duplicate of template code","Duplication de code de gabarit"
"There was an error while saving your subscription","Erreur lors de la sauvegarde de l'inscription"
"Your subscription was successfully confirmed","Votre inscription a été prise en compte"
"Cannot delete template","Impossible d'effacer le gabarit"
"Confirmation request has been sent","Une demande de confirmation a été envoyée"
"Form was filled incorrectly","Le formulaire n'a pas été correctement rempli"
"Thank you for your subscription","Merci pour votre inscription"
"The subscription was successfully saved","L'inscription a été enregistrée"
"Invalid queue selected","File sélectionnée non valide"
"Invalid subscription ID","Identifiant d'inscription non valide"
"Invalid subscription confirmation code","Code de confirmation d'inscription non valide"
"Invalid subscriber ID","Identifiant d'abonné non valide"
"No subscribers selected","Aucun abonné sélectionné"
"There was a problem with the subscription: %s","Il y a eu un problème lors de l'inscription: %s"
"Cannot save your subscription: %s","Impossible d'enregistrer votre inscription: %s"
"Newsletter","Newsletter"
