"%s Item(s)","%s article(s)"
"(ver. %s)","(ver. %s)"
"Close Window","Fermer la fenêtre"
"Copyright","Copyright"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Robots","Default Robots"
"Default Title","Default Title"
"Footer","Footer"
"HTML Head","HTML Head"
"Header","Header"
"Help Us to Keep Magento Healthy","Aidez-nous à maintenir Magento"
"Interface Language","Langage de l'interface"
"Items %s to %s of %s total","Articles <strong>%s</strong> à <strong>%s</strong> sur un total de <strong>%s</strong>"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Magento Commerce Demo Store","Boutique de démo Magento Commerce"
"Magento&trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright ","Magento&trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright "
"Next Page","Page suivante"
"Page:","Page:"
"Previous Page","Page précédente"
"Report All Bugs","Signalez les bugs"
"Select Store","Choisir un magasin"
"Show","Afficher"
"Skip to Main Content","Passer au contenu principal"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Aucune commande passée sur cette boutique ne sera honorée."
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Welcome Text","Welcome Text"
"Welcome, %s!","Bienvenue, %s !"
"You're currently on:","Vous êtes actuellement sur:"
"Your Language","Your Language"
"per page","par page"
