"API Login ID","API Login ID"
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Authorize.net","Authorize.net"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Debug","Debug"
"Email customer","Email customer"
"Enabled","Activé"
"Error in authorizing the payment","Error in authorizing the payment"
"Error in capturing the payment","Error in capturing the payment"
"Error in refunding the payment","Error in refunding the payment"
"Error in refunding the payment.","Error in refunding the payment."
"Error in retreiving the transaction","Error in retreiving the transaction"
"Gateway request error: %s","Gateway request error: %s"
"Invalid amount for authorization","Invalid amount for authorization"
"Invalid amount for authorization.","Invalid amount for authorization."
"Invalid transaction id","Invalid transaction id"
"Merchant's email","Merchant's email"
"New order status","New order status"
"Partner","Partner"
"Password","Mot de pase"
"PayflowPro","PayflowPro"
"Payment Action","Payment Action"
"Payment authorization error.","Payment authorization error."
"Payment authorization transaction has been declined.","Payment authorization transaction has been declined."
"Sort order","Ordre de tri"
"TENDER","TENDER"
"Test mode","Test mode"
"Title","Titre"
"Transaction key","Transaction key"
"URL","URL"
"User","User"
"VERBOSITY","VERBOSITY"
"Vendor","Vendor"
"Voided transaction","Voided transaction"
"payment from Specific countries","payment from Specific countries"
"payment from applicable countries","payment from applicable countries"
