"September","septembre"
"February","février"
"October","octobre"
"March","mars"
"August","août"
"May","mai"
"January","janvier"
"Master Card","Master Card"
"Year","Année"
"June","juin"
"Discover","Discover"
"Month","Mois"
"April","avril"
"American Express","American Express"
"Visa","Visa"
"Please select credit card type","Sélectionnez votre type de carte de crédit"
"December","décembre"
"July","juillet"
"November","novembre"
"Credit Card Type","Type de carte de crédit"
"What is this?","Aide ?"
"Card Type","Type de carte"
"Card Verification Number","Numéro de vérification"
"Credit Card Number","Numéro de carte de crédit"
"Purchase Order Number","Numéro d'achat"
"Name on Card","Propriétaire de la carte"
"Expiration Date","Date d'expiration"
