"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Add New Rating","Ajouter une nouvelle notation"
"Assigned Options","Options attribuées"
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Default Value","Default Value"
"Delete Rating","Supprimer le taux"
"Edit Rating","Modifier la notation"
"ID","ID"
"If you do not specify an rating title for a store then the default value will be used.","If you do not specify an rating title for a store then the default value will be used."
"New Rating","Nouvelle notation"
"Option Label","Option"
"Option Title","Titre de l'option"
"Option Title:","Titre de l'option"
"Please select one of each ratings above","Veuillez sélectionner une note pour chaque critère ci-dessus"
"Rating Information","Informations de notation"
"Rating Name","Nom de notation"
"Rating Options","Options de notation"
"Rating Title","Titre notation"
"Rating Visibility","Visibilité de classement"
"Rating isn't Available","La notation n'est pas disponible"
"Rating with the same title","Note avec le même titre"
"Ratings","Classements"
"Save Rating","Sauvegarder la notation"
"Visible In","Visible dans"
