"Added","Ajouté"
"Average rating","Notation moyenne"
"Bought from wishlists","Acheté à partir de la liste d'envies"
"CSV","CSV"
"Carts","Paniers"
"Created at","Créé le"
"Customer","Client"
"Customer Tags","Tags du client"
"Customers","Clients"
"Customers Report","Rapport clients"
"Customers Reviews","Commentaires clients"
"Customers Tags","Tags clients"
"Customers that have wishlist: %s%","Clients ayant une liste d'envies: %s%"
"Detail","Détail"
"First Name","Prénom"
"Hits","Vues"
"ID","ID"
"Items in Cart","Articles dans le panier"
"Last Name","Nom de famille"
"Last Review","Dernier commentaire"
"Name","Nom (usage interne)"
"Number Added","Nombre ajouté"
"Number Fulfilled","Nombre réalisés"
"Number Of Historical Uses","Number Of Historical Uses"
"Number Of Reviews","Nombre de commentaires"
"Number Of Uses","Nombre d'utilisations"
"Number Purchased","Nombre acheté"
"Number Viewed","Nombre de vues"
"Number of Reviews","Nombre de commentaires"
"Number of Total Tags","Nombre de tags total"
"Number of Unique Tags","Nombre de tags uniques"
"Number of items bought from a wishlist: %s","Nombre d'articles achetés depuis une liste d'envies: %s"
"Number of times deleted","Nombre de suppressions"
"Number of times wishlists have been shared (emailed): %s","Nombre de fois que la liste d'envies a été partagée (envoyée par mail): %s"
"Number of wishlist conversions: %s","Nombre de conversion de listes d'envies: %s"
"Number of wishlist referrals: %s","Nombre de référents de la liste d'envies: %s"
"Number of wishlists: %s","Nombre de listes d'envies: %s"
"Orders","Commandes"
"Poducts Report","Rapport produits"
"Popular Tags","Tags populaires"
"Popularity","Popularité"
"Price","Prix"
"Product Name","Nom produit"
"Product Reviews","Commentaires de produits"
"Product Tags","Tags de produits"
"Products","Produits"
"Products Report","Produits"
"Products Reviews","Commentaires produits"
"Products Tags","Tags produits"
"Reports","Rapports"
"Results","Résultats"
"Revenue","Revenu"
"Review","Commentaire"
"Reviews","Commentaires"
"Search Report","Recherche"
"Shopcart Products","Produits placés dans un panier"
"Shopping Cart","Panier"
"Shopping Cart Report","Panier"
"Submitted In","Soumis dans"
"Tag","Tag"
"Tag Detail","Détail du tag"
"Tag Name","Nom du tag"
"Tag use","Utilisation du tag"
"Title","Titre"
"Total","Total"
"Total Tags","Nb total de tags"
"Visible In","Visible dans"
"Wishlist Report","Liste d'envies"
"Wishlist vs. Regular Order","Liste d'envies vs. Commande normale"
"Wishlists","Liste d'envies"
"XML","XML"
