"%d Review(s)","%d Commentaire(s)"
"%s Review(s)","%s Review(s)"
"(Posted on %s)","(Posté le %s)"
"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"<a href=""%1$s"" target=""_blank"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" target=""_blank"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add Items to Cart","Ajouter l'article au panier"
"Add New Review","Ajouter nouveau commentaire"
"Add Your Review","Ajoutez votre commentaire"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'envies"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Are you sure?","En êtes-vous sûr ?"
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Disponibilité: épuisé"
"Average Customer Rating","Note moyenne"
"Average Customer Rating:","Note moyenne des clients:"
"Back","Retour"
"Back to Main Product Info","Retour à la fiche du produit"
"Back to My Reviews","Retour à mes commentaires"
"Back to Product Reviews","Retour aux commentaires"
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Buy %s for %s","Acheter %s pour <strong>%s</strong>"
"Created On","Créé le"
"Customer","Client"
"Customer Reviews","Commentaires des clients"
"Delete","Supprimer"
"Delete Review","Supprimer le commentaire"
"Detailed Rating","Notation détaillée"
"Edit Review '%s'","Modifier commentaire '%s'"
"Guest","Invité"
"How do you rate this product?","Quelle note donneriez-vous à ce produit ?"
"ID","ID"
"My Product Reviews","Mes commentaires"
"My Recent Reviews","Mes derniers commentaires:"
"Name","Nom (usage interne)"
"Name In Store","Nom dans le magasin."
"New Review","Nouveau commentaire"
"Nickname","Pseudo"
"OR","OU"
"Please select a product","Veuillez sélectionner un produit"
"Please select one of each of the ratings above","Veuillez sélectionner une notation de chaque parmi les suivantes"
"Posted By","Posté par"
"Price","Prix"
"Product","Produit"
"Product Name","Nom produit"
"Product Rating","Notation du produit"
"Product Rating:","Note du produit:"
"Product Review (submitted on %s):","<strong>Commentaire</strong> (posté le %s):"
"Product Reviews","Commentaires"
"Product SKU","SKU produit"
"Qty","Quantité"
"Rating:","Note:"
"Review","Commentaire"
"Review Details","Détail du commentaire"
"Review by %s","par <em>%s</em>"
"Reviews","Commentaires"
"SKU","SKU"
"Save Review","Sauvegarder le commentaire"
"Set visible in","Set visible in"
"Status","Statut"
"Store Views","Store Views"
"Store(s)","Store(s)"
"Submit Review","Poster le commentaire"
"Summary Rating","Aperçu des notations"
"Summary of Review","Résumé des commentaires"
"Summary of Your Review","Résumé de votre commentaire"
"Summary of review","Sommaire des commentaires"
"Title","Titre"
"Type","Type"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
"Update status","Update status"
"View All Reviews","Voir tous les commentaires"
"View Details","Voir les détails"
"Visible In","Visible dans"
"Visible Ins","Visible Ins"
"Write Your Own Review","Rédigez votre propre commentaire"
"You have submitted no reviews.","Vous n'avez posté aucun commentaire"
"You're reviewing: %s","Vous être en train de commenter: <span class=""normal-weight"">%s</span>"
"Your Rating:","Votre note:"
"Your Review (submitted on %s):","<strong>Votre commentaire</strong> (posté le %s):"
"Your review has been accepted for moderation","Votre commentaire a été envoyé et attend d'être validé"
