"ALL","TOUTES"
"ANY","UNE OU PLUSIEURS DE"
"Add","Ajouter un nouveau rôle"
"Apply","Appliquer"
"Description: %s","Description: %s"
"Expire at: %s","Expire le: %s"
"FALSE","FAUSSES"
"If %s of these conditions are %s:","Si %s ces conditions sont %s:"
"Name: %s","Nom: %s"
"Open Chooser","Open Chooser"
"Perform following actions","Effectuer les actions suivantes"
"Please choose a condition to add...","Choisissez une condition à ajouter..."
"Please choose an action to add...","Choisissez une action à ajouter..."
"Remove","Supprimer"
"Start at: %s","Débute le: %s"
"TRUE","VRAIES"
"by","sur"
"to","à"
