"",""
"Actions","Actions"
"Add New Rule","Ajouter un nouvelle règle"
"Advanced Conditions","Conditions avancées"
"Apply","Appliquer"
"Attribute Set","Jeu d'attributs"
"By Fixed value","remise d'une valeur de"
"By Percentage","remise en %%"
"Catalog","Catalogue"
"Checkout Price Rule","Vérification de la règle de prix"
"Conditions","Conditions"
"Conditions combination","Combinaison de conditions"
"Coupon Code","Code bon de réduction"
"Coupon code","Code bon de réduction"
"Customer Groups","Groupes clients"
"Customer is new buyer: %s","Le client est un nouvel acheteur: %s"
"Customer registered: %s","Client enregistré: %s"
"Date Expire","Date d'expiration"
"Date Start","Date de démarrage"
"Delete Rule","Supprimer la règle"
"Description","Description"
"Description: %s","Description: %s"
"Disabled","Désactivé"
"Discount amount","Montant de la remise"
"Edit Rule","Modifier la règle"
"Edit Rule '%s'","Éditer la règle '%s'"
"Enabled","Activé"
"Expire at: %s","Expire le: %s"
"Fixed amount discount","Remise d'une valeur fixe"
"For matching items only","Pour les objets concordants seulement"
"For shipment with matching items","Pour les expéditions avec articles concordants"
"Free ground shipping","Frais de port gratuits"
"From Date","Date de début"
"General Information","Informations générales"
"ID","ID"
"Matching Products","Produits concordants"
"Maximum Qty Discount is Applied to","Quantité maxi d'articles bénéficiant de la remise"
"NOT LOGGED IN","SESSION FERMEE"
"Name","Nom (usage interne)"
"Name: %s","Nom: %s"
"New Rule","Nouvelle règle"
"No","Non"
"Percent of product price discount","Remise en pourcentage du prix du produit"
"Price","Prix"
"Price in cart","Prix dans le panier"
"Priority","Priorité"
"Product attribute combination","Combinaison d'attributs de produit"
"Promotions","Promotions"
"Quantity in cart","Quantité dans le panier"
"Row total in cart","Total de la ligne du panier"
"Rule Information","Informations règle"
"Rule Name","Nom de la règle"
"Rule was successfully deleted","Règle supprimée avec succès"
"Rule was successfully saved","Règle sauvegardée avec succès"
"SKU","SKU"
"Save Rule","Sauvegarder la règle"
"Shopping Cart Price Rules","Règles de prix panier"
"Special price","Prix promotionnel"
"Start at: %s","Débute le: %s"
"Status","Statut"
"Stop further rules processing","Ne pas traiter les règles suivantes"
"Store Views","Store Views"
"The page you are trying to save no longer exists","La page que vous êtes en train d'essayer de sauvegarder n'existe plus"
"This rule no longer exists","Cette règle n'existe plus"
"To Date","Date de fin"
"To Fixed Value","nouveau prix"
"To Percentage","nouveau prix en %%"
"Unable to find a page to delete","Impossible de trouver une page à supprimer"
"Update product's %s %s: %s","Modifier le %s du produit: %s: %s"
"Update the Product","Mettre à jour le produit"
"Use advanced conditions","Utiliser les conditions avancées"
"Uses per coupon","Nb d'utilisations par bon de réduction"
"Uses per customer","Nb d'utilisations par client"
"Yes","Oui"
