"# of Items (and above)","Nombre d'articles (et au-delà)"
"# of Items vs. Destination","Nombre d'articles par destination"
"Allow Shipping to multiple addresses","Allow Shipping to multiple addresses"
"City","Ville"
"Condition","Condition"
"Country","Pays"
"Displayed Error Message","Displayed Error Message"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Dupliquer la ligne #%s (Pays ""%s"", Région/État ""%s"", Code postal ""%s"" et Valeur ""%s"")"
"Enabled","Activé"
"Export","Exporter"
"Flat Rate","Flat Rate"
"Free Shipping","Free Shipping"
"Handling Fee","Handling Fee"
"Import","Import"
"Invalid %s ""%s"" in the Row #%s","%s non valide ""%s"" à la ligne n°%s"
"Invalid Country ""%s"" in the Row #%s","Pays non valide ""%s"" à la ligne n°%s"
"Invalid Region/State ""%s"" in the Row #%s","Région/État non valide ""%s"" à la ligne #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Prix de transport non valide ""%s"" à la ligne #%s"
"Invalid Table Rate code for type %s: %s","Code de tableau de taux non valide pour le type %s: %s"
"Invalid Table Rate code type: %s","Type de code de tableau de taux non valide: %s"
"Invalid Table Rates File Format","Fichier de format de taux non valide"
"Method name","Method name"
"Minimum order amount","Minimum order amount"
"None","Aucun"
"Options","Options"
"Order Subtotal (and above)","Sous-total de la commande (et au-delà)"
"Origin","Origin"
"Price","Prix"
"Price vs. Destination","Prix par destination"
"Region/State","Région/État"
"Ship to Specific countries","Ship to Specific countries"
"Ship to applicable countries","Ship to applicable countries"
"Shipping","Livraison"
"Shipping Methods","Modes de livraison"
"Show method if not applicable","Show method if not applicable"
"Sort order","Ordre de tri"
"Store Pickup","Retrait en magasin"
"Table rates","Table rates"
"The shipping module is not available for selected delivery country","The shipping module is not available for selected delivery country"
"Title","Titre"
"Type","Type"
"Weight (and above)","Poids (et au-delà)"
"Weight vs. Destination","Poids par destination"
"ZIP/Postal Code","Code postal"
