"",""
"Add New Class","Ajouter une nouvelle classe"
"Add New Tax Rate","Ajouter un nouveau taux de TVA"
"Add New Tax Rule","Ajouter une nouvelle règle de TVA"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Back","Retour"
"CSV","CSV"
"Class Name","Nom de la classe"
"County","Comté"
"Customer Tax Class","Classe de TVA clients"
"Customer Tax Class Information","Informations de classe de TVA client"
"Customer Tax Classes","Classes de TVA client"
"Delete Class","Supprimer la classe"
"Delete Rate","Supprimer le taux"
"Delete Rule","Supprimer la règle"
"Edit Class","Edit Class"
"Edit Class '%s'","Edit Class '%s'"
"Edit Rule","Modifier la règle"
"Edit Tax Rate","Éditer le taux de TVA"
"Error while deleting this class. Please try again later.","Error while deleting this class. Please try again later."
"Error while deleting this rate. Incorrect rate ID","Error while deleting this rate. Incorrect rate ID"
"Error while deleting this rate. Please try again later.","Erreur pendant la suppression de ce taux. Veuillez réessayer ultérieurement"
"Error while deleting this tax rule. Please try again later.","Error while deleting this tax rule. Please try again later."
"Error while saving this rate. Please try again later.","Erreur pendant la sauvegarde de ce taux. Veuillez réessayer ultérieurement."
"Error while saving this tax class. Class with the same name ","Error while saving this tax class. Class with the same name "
"Error while saving this tax class. Please try again later.","Erreur pendant la sauvegarde de cette classe de TVA. Veuillez réessayer ultérieurement"
"Error while saving this tax rule. Please try again later.","Erreur pendant la sauvegarde de cette classe de TVA. Veuillez réessayer ultérieurement"
"Error while saving this tax rule. This product tax class and customer tax class combination","Error while saving this tax rule. This product tax class and customer tax class combination"
"Export Tax Rates","Exporter les taux de TVA"
"ID","ID"
"Import / Export Tax Rates","Importer / exporter les taux de TVA"
"Import Tax Rates","Importer les taux de TVA"
"Incorrect rate Data","Incorrect rate Data"
"Invalid data for tax rate calculation","Données non valides pour le calcul du taux de TVA"
"Invalid file format upload attempt","Invalid file format upload attempt"
"Invalid file upload attempt","Upload de fichier non valide"
"Manage Customer Tax Classes","Manage Customer Tax Classes"
"Manage Product Tax Classes","Manage Product Tax Classes"
"Manage Tax Rates","Gérer les taux de TVA"
"Manage Tax Rules","Gérer les règles de TVA"
"New Class","New Class"
"New Rule","Nouvelle règle"
"New Tax Rate","Nouveau taux de TVA"
"Please select County","Veuillez sélectionner un pays"
"Please select State","Veuillez sélectionner un état"
"Product Tax Class","Classe de TVA produits"
"Product Tax Class Information","Information de la classe de TVA produit"
"Product Tax Classes","Classes de TVA produit"
"Reset","Réinitialiser"
"Sales","Ventes"
"Save Class","Sauvegarder la classe"
"Save Rate","Sauvegarder le taux"
"Save Rule","Sauvegarder la règle"
"State","État"
"Tax","TVA"
"Tax Rate","Taux de TVA"
"Tax Rate Information","Information du taux de TVA"
"Tax Rates","Taux de TVA"
"Tax Rates Import / Export","Importer / exporter les taux de TVA"
"Tax Rule Information","Informations de règle de TVA"
"Tax Rules","Règles de TVA"
"Tax class was successfully deleted","La classe de TVA a été sauvegardé avec succès"
"Tax class was successfully saved","Classe de TVA supprimée avec succès"
"Tax rate was successfully deleted","Taux de TVA supprimé avec succès"
"Tax rate was successfully imported","Tax rate was successfully imported"
"Tax rate was successfully saved","Taux de TVA sauvegardé avec succès"
"Tax rule was successfully deleted","Règle de TVA supprimée avec succès"
"Tax rule was successfully saved","Règle de TVA sauvegardée avec succès"
"This class no longer exists","This class no longer exists"
"This rule no longer exists","Cette règle n'existe plus"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","You cannot delete this tax class as it is used for %d customer groups."
"You cannot delete this tax class as it is used for %d products.","You cannot delete this tax class as it is used for %d products."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first."
"Zip/Post Code","Code postal"
