"To Fixed Value","Do stałej wartości"
"Customer registered: %s","Customer registered: %s"
"Rule price","Reguła dla ceny"
"Customer is new buyer: %s","Klient złożył swoje pierwsze zamówienie: %s"
"By Fixed value","O stałą wartość"
"Update the Product","Aktualizuj produkt"
"To Percentage","Do wartości procentowej"
"Attribute Set","Zestaw cech"
"Start at: %s","Rozpoczęcie: %s"
"By Percentage","O wartość procentową"
"Expire at: %s","Zakończenie: %s"
"Name: %s","Nazwa: %s"
"Update product's %s %s: %s","Aktualizuj produkty %s %s: %s"
"Product Attribute","Cecha produktu"
"Conditions Combination","Kombinacja warunków"
"Description: %s","Opis: %s"
