"Catalog Advanced Search,""Zaawansowane wyszukiwanie w sklepie"""
"All,""Wszystko"""
"Name,""Nazwa"""
"List,""Lista"""
"Price,""Cena"""
"Search results for: '%s',""Wyniki wyszukiwania dla: '%s'"""
"Go to Home Page,""Wróć na stronę główną"""
"Results,""Wyniki"""
"Home,""Strona główna"""
"Search,""Szukaj"""
"Search results for '%s',""Wyniki wyszukiwania dla '%s'"""
"Search Settings,""Ustawienia wyszukiwania"""
"Your search returns no results.,""Brak wyników wyszukiwania."""
"Search entire store here...,""Szukaj w całym sklepie..."""
"Required Fields,""Pola wymagane"""
"Search Site,""Szukaj na stronie"""
