"Unable to post review. Please try again later.","Nie udało się dodać recenzji. Spróbuj ponownie."
"Your review has been accepted for moderation","Twoja recenzja została przekazana do moderatora"
"Product Reviews","Recencje produktu"
"Be the first to review this product","Oceń ten produkt jako pierwszy Klient"
"Add to Compare","Dodaj do porównania"
"My Product Reviews","Lista twoich recenzji"
"Average Customer Rating","Średnia ocena klientów"
"1 star","1 gwiazdka"
"Buy %s for %s","Kup %s za <strong>%s</strong>"
"Back","Powrót"
"Add Items to Cart","Dodaj produkty do koszyka"
"Your Review (submitted on %s):","<strong>Twoja recenzja</strong> (wysłana %s):"
"You're reviewing: %s","Oceniasz: <span class=""normal-weight"">%s</span>"
"Back to My Reviews","Wróć do listy recenzji"
"View All Reviews","Zobacz wszystkie recenzje"
"Product Rating:","Ocena produktu:"
"(Posted on %s)","(Dodano %s)"
"Summary of Your Review","Podusumowanie recenzji"
"Write Your Own Review","Napisz własną recenzję"
"4 stars","4 gwiazdki"
"%d Review(s)","%d recenzja(i)"
"Your Rating:","Twoja ocena:"
"My Recent Reviews","Ostatnie recenzje"
"Availability: Out of stock.","Dostępność: Brak."
"How do you rate this product?","Jak oceniasz ten produkt?"
"Nickname","Nick"
"Availability: In stock. Ships within 24hours.","Dostępność: W magazynie. Wysyłka w 24 godziny robocze."
"Review by %s"," Oceniający: <em>%s</em>"
"Average Customer Rating:","Średnia ocena klientów:"
"Rating:","Ocena:"
"Add to Cart","Dodaj do koszyka"
"(%s Reviews)","(%s recenzji)"
"Please select one of each of the ratings above","Wybierz po jednej wartości z powyższych ocen"
"Review","Recenzja"
"5 stars","5 gwiazdek"
"Customer Reviews","Recenzje klientów"
"Review Details","Szczegóły recenzji"
"Add to Wishlist","Dodaj do listy życzeń"
"View Details","Zobacz szczegóły"
"Product Review (submitted on %s):","<strong>Recenzja produktu</strong> (dodana: %s):"
"You have submitted no reviews.","Nie napisałeś jeszcze żadnych recenzji."
"Back to Product Reviews","Wróć do listy recenzji"
"Qty","Ilość"
"Submit Review","Dodaj recenzję"
"3 stars","3 gwiazdki"
"Back to Main Product Info","Wróć do informacji o produkcie"
"Add Your Review","Dodaj swoją recenzję"
"OR","LUB"
"2 stars","2 gwiazdki"
