"equals or greater than,""równy lub większy niż"""
"is not,""nie jest"""
"is not one of,""nie jest jednym z """
"is,""jest"""
"If %s of these conditions are %s:,""Jeżeli %s warunków jest %s:"""
"TRUE,""PRAWDA"""
"Description: %s,""Opis: %s"""
"contains,""zawiera"""
"to,""do"""
"equals or less than,""równy lub mniejszy niż"""
"greater than,""większy niż"""
"does not contain,""nie zawiera"""
"Please choose an action to add...,""Wybierz akcję do dodania..."""
"Perform following actions,""Wykonuj następujące czynności"""
"by,""o"""
"is one of,""jest jednym z"""
"ALL,""WSZYSTKIE"""
"FALSE,""FAŁSZ"""
"less than,""mniej niż"""
"ANY,""KAŻDY"""
"Expire at: %s,""Wygasa: %s"""
"Name: %s,""Nazwa: %s"""
"Please choose a condition to add...,""Wybierz warunek do dodania..."""
"Start at: %s,""Rozpoczęcie: %s"""
