"City,""Miasto"""
"Store to Quote rate,""Store to Quote rate"""
"Credit Memo,""Dokument kredytowy"""
"Quote currency,""Waluta """
"My Orders,""Moje zamówienia"""
"Discover,""Discover"""
"State/Province,""Województwo"""
"First Name,""Imię"""
"Store Credit,""Kredyt w sklepie"""
"No invoice for credit memo,""Brak faktury dla dokumentu kredytowego"""
"Customer Notes,""Notatki o kliencie"""
"Email,""Email"""
"Pending,""Oczekujący"""
"There's not enough qty of product '%s' in invoice to return,""Ilość produktu '%s' do zwrotu na fakturze jest niewystarczająca"""
"Fax,""Numer fax"""
"Returned,""Zwrócony"""
"Canceled,""Anulowany"""
"Unknown invoice type,""Nieznany typ faktury"""
"Company,""Firma"""
"Errors during order creation,""Wystąpiły błędy w takcie tworzenia zamówienia"""
"Store currency,""Waluta sklepu"""
"Discount,""Zniżka"""
"American Express,""American Express"""
"Zip/Postal Code,""Kod pocztowy"""
"Sent,""Wysłany"""
"Shipping Method,""Metoda wysyłki"""
"Subtotal,""Podsuma"""
"Last Name,""Nazwisko"""
"Unknown Status,""Nieznany status"""
"Base currency,""Waluta bazowa"""
"Backordered,""Produkty brakujące do realizacji"""
"Visa,""Visa"""
"Quote Status,""Status wyceny"""
"Grand Total,""Waluta wyceny"""
"Payed,""Opłacone"""
"Order Details,""Szczegóły zamówienia"""
"Shipped,""Wysłany"""
"Master Card,""Master Card"""
"Mixed,""Mieszany"""
"Original order ID,""Numer ID oryginalnego zamówienia"""
"Store to Base rate,""Store to Base rate"""
"Same as billing,""Taki sam jak płatnika"""
"No order for invoice,""Brak zamówienia dla faktury"""
"Partial,""Częściowy"""
"Unknown Type,""Nieznany rodzaj"""
"Weight,""Waga"""
"Shipping & Handling,""Wysyłka i obsługa"""
"Order Invoices,""Faktury dla zamówienia"""
"Street Address,""Ulica"""
"Tax,""Podatek"""
"Telephone,""Telefon"""
"There's not enough qty of product '%s' in order to ship,""Ilość produktu '%s' do wysłania jest niewystarczająca"""
"Coupon,""Kupon"""
"Invoice,""Faktura"""
"Gift certificate,""Bon prezentowy"""
"Order #%s - %s,""Zamówienie nr.%s - <small><em>%s</em></small>"""
"Shipping Amount,""Wartość wysyłki"""
"Ship to,""Wysyłka do"""
"View Order,""Podgląd zamówienia"""
"Price,""Cena"""
"Billing Address,""Adres płatnika"""
"Order Date: %s,""<p><strong>Data zamówienia:</strong> %s</p>"""
"Print All Invoices,""Wydrukuj wszystkie faktury"""
"Order Total,""Suma zamowienia"""
"Status,""Status"""
"Payment Method,""Forma płatności"""
"Track Order,""Śledź status zamówienia"""
"View All,""Zobacz wszystkie"""
"Recent Orders,""Ostatnie zamówienia"""
"Date,""Data"""
"Qty Ordered,""Ilość zamówiona"""
"My Orders - Details,""Zamówienia - dane szczegółowe"""
"About Your Order,""Informacje o zamówieniu"""
"Product Name,""Nazwa produktu"""
"Tax Amount,""Wartość podatku"""
"Invoice #%s,""Faktura #%s"""
"Items Ordered,""Ilość zamówionych produktów"""
"Order #,""Zamówienie nr."""
"Order Status,""Status zamówienia"""
"View Invoices,""Zobacz faktury"""
"Order #%s,""Zamówienie nr.%s"""
"You have placed no orders.,""Nie złożyłeś jeszcze żadnych zamówień."""
"Qty Shipped,""Ilość wysłana"""
"Order Subtotal,""Wartość produktów"""
"Print Invoice,""Drukuj fakturę"""
"Back to My Orders,""Wróć do zamówień"""
"Shipping Address,""Adres dla dostawy"""
