"To Fixed Value","Do stałej wartości"
"Customer registered: %s","Klient zarejestrował: %s"
"Row total in cart","Ilość wierszy w koszyku"
"Description: %s","Opis: %s"
"Customer is new buyer: %s","Klient nie składał wcześniej zamówień: %s"
"Expire at: %s","Wygasa: %s"
"By Fixed value","O stałą wartość"
"Update the Product","Aktualizuj produkt"
"To Percentage","Do wartości procentowej"
"Attribute Set","Zestaw cech"
"Start at: %s","Rozpoczęcie: %s"
"Product attribute combination","Kombinacja cech produktu"
"By Percentage","O wartość procentową"
"Price in cart","Cena w koszyku"
"Quantity in cart","Ilość w koszyku"
"Name: %s","Nazwa: %s"
"Update product's %s %s: %s","Aktualizuj produkty %s %s: %s"
"Invalid item entity","Nieprawidłowa wartość dla ilości"
"Conditions combination","Warunki dla kombinacji"
"Special price","Cena promocyjna"
