"You tag was successfully saved","Dodany tag został zapisany"
"Your tag(s) have been submitted","Twoje tagi zostały wysłane"
"List","Lista"
"You tag was successfully deleted","Tag został usunięty"
"Unable to save your tag. Please, try again later.","Nie można zapisać taga. Spróbuj ponownie."
"Price","Cena"
"All Tags","Wszystkie tagi"
"Tag","Tagi"
"Unable to save tag(s)","Nie udało się zapisać taga/ów"
"Thank you. Your tag has been accepted for moderation.","Dziękujemy. Twój tag został przesłany do moderatora."
"Unable to remove tag. Please, try again later.","Nie udało się usunąć taga. Spróbuj ponownie."
"Grid","Siatka"
"Products tagged with '%s'","Produkty oznaczone tagiem '%s'"
"No matches found.","Brak wyników."
"Data integrity: No header row found for attribute","Integralność danych: Nie znaleziono nagłówka wiersza dla cechy"
"Name","Nazwa"
"View All Tags","Zobacz wszystkie tagi"
"Other people marked this product with these tags:","Inni klienci oznaczyli ten produkt następującymi tagami:"
"Add Your Tags:","Dodaj swoje tagi:"
"My Recent Tags","Ostatnie tagi"
"Tags:","Tagi:"
"Are you sure you want to delete this tag?","Czy na pewno chcesz usunąć ten tag?"
"Tag Name: %s","Nazwa taga: <strong>%s</strong>"
"Unable to find any product tagged with '%s'","Nie znaleziono produktów oznaczonych tagiem '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produkty oznaczone tagiem '%s' (<a href='%s'>Kanał RSS</a>)"
"Save Tag","Zapisz tag"
"Tags Aren't Available","Tagi nie są dostępne"
"Use spaces to separate tags. Use single quotes (') for phrases.","Użyj spacji aby rozdzielić tagi, apostrofów aby wpisać frazy."
"Popular Tags","Popularne tagi"
"Add Tags","Dodaj tagi"
"Add to Cart","Dodaj do koszyka"
"You have not tagged any products yet.","Nie oznaczyłeś jeszcze żadnych produktów tagami."
"Product Tags","Tagi produktów"
"Add to Wishlist","Dodaj do listy życzeń"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Wyniki wyszukiwania dla '%s' (<a href='%s'>Kanał RSS</a>)"
"My Tags","Twoje tagi"
"Click on a tag to view your corresponding products.","Kliknij na tag aby zobaczyć produkty nim oznaczone."
"Delete Tag","Usuń tag"
"Edit Tag","Edytuj tag"
