Sales,Vanzari
Orders,Comenzi
Invoices,Facturi
Tax,Taxe
Manage Tax Rules,Administreaza regulile de taxare
Manage Tax Rates,Administreaza ratele de taxare
Import / Export Tax Rates,Importa / Exporta ratele de taxare
Customer Tax Classes,Clase de taxare a clientului
Product Tax Classes,Clase de taxare a produsului
Configuration,Configuratie
Catalog,Catalog
Manage Products,Administreaza produsele
Manage Categories,Administreaza categoriile
Attributes,Atribute
Manage Attributes,Administreaza atributele
Manage Attribute Sets,Administreaza seturile de atribute
Reviews &amp; Ratings,Recenzii si ratari
Customer Reviews,Recenzia clientului
Pending Reviews,Recenzii in progres
All Reviews,Toate recenziile
Manage Ratings,Administreaza ratarile
Tags,Cupoane
Pending Tags,Cupoane in progres
All Tags,Toate cupoanele
Customers' Tags,Cupoanele clientului
Products' Tags,Cupoanele produselor
Search,Cautare
Datafeeds,Curent de date
Dashboard,Panou principal
Customers,Clienti
Manage Customers,Administreaza clientii
Customer Groups,Grupe de clienti
Online Customers,Clienti pe linie
Promotions,Promotii
Catalog Price Rules,Reguli de pret de catalog
Shopping Cart Price Rules,Reguli de pret de carut
CMS,CMS
Manage Pages,Administreaza paginile
Static Blocks,Blocuri statice
Poll Manager,Manager de pol
Newsletter,Scrisoare de stiri
Newsletter Templates, Scrisori de stiri prefacute
Subscribers,Abonati
Newsletter Queue,Rind pentru scrisoarea de stiri
Newsletter Problem Reports,Raporte de probleme pentru scrisoarea de stiri
Reports,Rapoarte
Sales Report,Raport de vanzari
Shopping Cart Report,Raport de carut de cumparaturi
Products,Produse
Products Report,Raport de produse
Coupons Reports,Raport de cupoane
Wishlist Report,Raport al listei de dorinte
Reviews Report,Raport de recenzii
Customers Reviews,Recenziile clientilor
Products Reviews,Recenziile produselor
Tags Report,Raport de cupoane
Products (Total),Produse (Total)
Popular,Populare
Search Report,Raport de cautare
Best Customers,Cei mai buni clienti
Recent Orders,Comenzi Recente
Order Totals,Totalul Comenzii
System,Sistem
My Account,Acontul meu
Tools,Scule
Backups,Backup
Manage Currency,Administreaza moneda
Transactional Emails,Email-uri de tranzactie
Permissions,Permisii
Users,Folositori
Roles,Roluri
Invoice Information,Informatia de factura
Store Name,Numele magazinului
Create Backup,Creati backup
Title,Titlu
Add New User,Adauga un nou folositor
Unknown,Necunoscut
View Order,Vedeti comanda
Number of Unique Tags,Numar unic de cupoane
State/Province,Statul/Provincia
No Newsletter Found,Nu se gaseste scrisoarea de stiri
Session Start Time,Ora de inceput a sesiunii
Edit Queue,Editeaza Randul
Edit Review '%s',Editeaza recenzia '%s'
Comparable,Comparabila
Number of Reviews,Numar de recenzii
Block Title,Titlul blocului
Add New,Adaugati nou
Add New Image,Adaugati imagine noua
Unable to find a user to delete,Nu am putut gasi folositorul pentru a fi sters
