"%s Item(s)","%s Obiect(e)"
"Add Items to Cart","Adaugati obiectele in carut"
"Add to Cart","Adaugati la carut"
"Add to Compare","Adaugati la comparare"
"Add to My Wishlist","Adaugati la lista de dorinte"
"Add to Wishlist","Adaugati la lista de dorinte"
"Additional Information","Informatii suplimentare"
All,Toate
"Attribute model not defined","Atributul modelului nu este definit"
"Attribute saver ""%s"" not found","Salvatorul atributului ""%s"" nu se gaseste"
"Attribute source ""%s"" not found","Sursa atributelor ""%s"" nu se gaseste"
"Availability: In stock. Ships within 24 hours.","Valabilitate: In stoc. Se livreaza in 24 de ore."
"Availability: In stock. Ships within 24hours.","Valabilitate: In stoc. Se livreaza in 24 de ore."
"Availability: Out of stock.","Valabilitate: Nu este in stoc."
"Base Image","Imaginea baza"
"Best Selling Products","Cele mai bune produse vindute"
"Best Value","Cea mai buna valoare"
"Browse By","Browse By detaliile"
"Buy %s for %s each","Cumparati %s pentru <strong>%s fiecare</strong>"
"Cannot retrieve current category object","Nu pot recupera obiectul de categorie curenta"
Category,Categorie
"Category Navigation:","Navigarea categoriei:"
"Check items to add to the cart or select all.","Marcati obiectele care vor fi adaugate in carut sau <a href=""#"" onclick=""selectAllRelated();return false;"">selectati toate</a>."
"Choose an Option...","Alegeti o optiune..."
"Choose option...","Alegeti optiunea..."
"Clear All Items","Sterge-ti toate obiectele"
"Close Window","Inchide-ti fereastra"
"CMS Block","Bloc CMS"
Color,Coloare
"Compare Items","Comparati obiectele"
"Compare Products","Comparati produsele"
"Compare Products - %d Items","Comparati produsele <span class=""count"">- %d obiecte</span>"
"Compare Products List","Comparati listea de produse"
Cost,Cost
"Cross-sell Products","Produse X-Vindute"
"Currently Shopping by","Cumparind in curent"
"Data integrity: No header row found for attribute","Integritatea datelor: Nu se gaseste grupa de capatii pentru atribut"
Description,Descriptie
"Display Mode","Modul de afisare"
"Filter model name must be declared","Fitrul numelui de model trebuie sa fie declarat"
"Filter must be as object. Set correct filter please","Fitrul trebuie sa fie ca obiect. Va rugam, seta-ti filt corect"
"Filters must be as array","Filtrele trebuie sa fie complete"
General,General
"Go to Home Page","Merge-ti la pagina casa"
Grid,Grrila
Home,Acasa
Image,Imagine
"Image Gallery","Galerie de imagini"
Images,Imagini
"Invalid Attribute Requested","Atribut cerut invalid"
"Invalid block: %s","Bloc invalid: %s"
"Is Active","Este activa"
"Is Anchor","Este ancora"
"Is Qty Decimal","Este cantitatea decimala"
"Items %s to %s of %s total","Obiectele <strong>%s</strong> pina la <strong>%s</strong> din <strong>%s</strong> total"
"Learn More","Cititi mai mult"
List,Lista
Manufacturer,Manufacturier
"Meta Description","Descriptie meta"
"Meta Information","Informatie meta"
"Meta Keywords","Cuvinte cheie meta"
"Meta Title","Titlul meta"
"Minimal Price","Pretul minim"
"More Views","Alte vederi"
Name,Nume
Next,Urmatorul
"No layout updates","Nici o actualizare a aspectului"
"No options of this product are available.","Nu sint optiuni valabile pentru acest produs."
"Old Price:","Pret vechi:"
OR,SAU
"Out of Stock","Nu este in stoc"
"Page Layout","Aspectul paginii"
"Page Title","Titlul paginii"
Page:,Pagina:
"per page","pe pagina"
"Please select static block ...","Va rugan selectati blocul static ..."
Prev,Anterior
Previous,Anterior
Price,Pret
Prices,Preturi
"Print This Page","Imprimati aceasta pagina"
"Product Attribute Specs","Atributele specifice ale produsului"
"Product Description","Descriptia produsului"
"Product Name","Numele produsului"
"Products only","Numai produse"
Qty,Cantitate
"Quick Overview","Vedere rapida"
"Regular Price:","Pret normal:"
"Related Products","Produse asociate"
"Remove Product","Sterge-ti produsul"
"Remove This Item","Sterge-ti acest obiect"
"See all %s","Vedeti toate %s"
"Set Ascending Direction","Setati directia de urcare"
"Set Descending Direction","Setati directia de coborire"
"Shop by","Cumparati la"
"Shopping Options","Optiuni de cumparare"
"Short Description","Descriptie scurta"
Show,Arata
SKU,SKU
"Small Image","Imagine mica"
"Sort by","Sortat cu "
"Special Price:","Pretul special:"
"Static block and products","Blocul static si produse"
"Static block only","Numai bloc static"
Status,Statutul
"Tax Class","Clasa de taxe"
"There are no products matching the selection.","Nu sint produse egale cu selectia."
"This bundle is out of stock.","Balotul nu este in stoc."
Thumbnail,"Imagine foarte mica"
"Tier Price","Pret de treapta"
"URL key","Cheie URL"
"View as","Vedeti ca"
"View Details",Vedeti
Visibility,Visibilitate
Weight,Greutate
"You have no items to compare.","Nu aveti obiecte de comparat."
"You may also be interested in the following product(s)","Veti fi de asemenea interesat in urmatorul produs(e)"
"Zoom In",Mariti
"Zoom Out",Micsorati
