"To Fixed Value","La valoarea fixata"
"Customer registered: %s","Clientul inregistrat: %s"
"Rule price","Regula de pret"
"Customer is new buyer: %s","Clientul este un cumparator nou: %s"
"By Fixed value","Cu valoarea fixata"
"Update the Product","Actualiza-ti produsul"
"To Percentage","La procentaj"
"Attribute Set","Setul de atribute"
"Start at: %s","Incepe la: %s"
"By Percentage","Cu procentaj"
"Expire at: %s","Expira la: %s"
"Name: %s","Nume: %s"
"Update product's %s %s: %s","Actualiza-ti produsul %s %s: %s"
"Product Attribute","Atributul produsului"
"Conditions Combination","Conditiile combinatiei"
"Description: %s","Descriptie: %s"
