All,Toate
"Catalog Advanced Search","Cautare avansata de catalog"
"Go to Home Page","Merge-ti la pagina de casa"
Home,Casa
List,Lista
Name,Nume
Price,Pret
"Required Fields","Cimpuri cerute"
Results,Rezultate
Search,Cautare
"Search entire store here...","Cautati intregut magazin aici..."
"Search results for '%s'","Rezultatele de cautare pentru '%s'"
"Search results for: '%s'","Cautati rezultatele pentru: '%s'"
"Search Settings","Setarea cautarii"
"Search Site","Cauta-ti site-ul"
"Your search returns no results.","Cautarea nu a reintors rezultate."
