"Invalid block name to set child %s: %s","Numele blocului invalid la setarea copilului %s: %s"
"Model class does not exist: %s","Clasa de model nu exista: %s"
"Empty field id name","Cimpul de ID pentru nume este gol"
"Invalid websites configuration path: %s","Drumul de configuratie pentru website este invalid: %s"
"Invalid store configuration path: %s","Drumul de configuratie pentru magazin este invalid: %s"
"%s already exist","%s deja exista"
"Exception while deleting the object","Exceptie cind obiectul este sters"
"Resource is not set","Resursa nu este setata"
"Error in file: ""%s"" - %s","Eroarein fila: ""%s"" - %s"
"Block with name ""%s"" already exists","Blocul cu numele ""%s"" deja exista"
"Duplicate Of Template Code","Codul de pre-facuta este duplicat"
"Exception while saving the object: %s","Exceptie la salvarea obiectului: %s"
"Invalid base dir type specified: %s","Tipul de director de baza specificat este invalid: %s"
"Cannot Delete Email Template","Nu pot sterge emailul pre-facut"
"Can't retrieve request object","Nu pot recupera obiectul cerut"
"%s already exists","%s deja exista"
"Can\'t retrieve entity config for entity: %s of model: %s","Nu pot recupera configuratia de entitate pentru entitatea: %s de model: %s"
"Wrong number of arguments for %s","Numar gresit de argumente pentru %s"
"Could not load default layout file","Nu pot incarca fila default de aspect "
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argument invalid de actualizare a aspectului, se astepta Mage_Core_Model_Layout_Element"
"Layout update handle not found: %s","Actualizarea pentru aspect nu se gaseste: %s"
"You need init translate area","Va trebuie zona traducere initiala"
"Invalid block: %s","Bloc invalid: %s"
"Invalid block type: %s","Bloc invalid tip: %s"
"Invalid messages storage ""%s"" for layout messages initialization","Mesaje de stocare invalide ""%s"" pentru initializarea mesajelor de aspect"
"Invalid transactional email code","Code de email tranzactional invalid"
"Empty main table name","Nume gol in tabela principala "
"Select Store","Selectati magazinul"
