"City","Oras"
"Current customer password is empty","Parola curenta a clientului este goala"
"A new password was sent","O noua parola a fost trimisa"
"Cannot delete customer","Nu se poate sterge clientul"
"Invalid region for country specified in the address","Regiune invalida pentru tara specificata in adresa"
"Telephone","Telefon"
"State/Province","Statul/Provincia"
"First Name","Numele"
"Account information was successfully saved","Informatia de acont a fost salvata cu succes"
"Invalid current password","Parola curenta invalida"
"Error while updating the password","Eroare la actualizarea parolei"
"Wrong region id by selected country","ID-ul regiunii este gresit la selectia tarii"
"Email","Email"
"This email address was not found in our records","Aceasta adresa de email nu a fost gasita in recordurile noastre"
"My Account","Acontul meu"
"Fax","Fax"
"Payment Method","Metoda de plata"
"Customer email already exists","Email-ul clientului exista deja"
"Edit Address","Editati adresa"
"Company","Compania"
"Created From","Creeata de la"
"Invalid customer ID","ID-ul clientului este invalid"
"Customer group already exists.","Grupul clientului exista deja."
"Zip/Postal Code","Zip/Codul postal"
"You have not set a primary billing address.","Nu ati setat o adresa primara de factura."
"You are currently subscribed to our newsletter","Sinteti abonat curent la scrisoarea noastra de noutati"
"New passwords do not match","Parolele noi nu sint egale"
"There was an error while deleting the address","A fost o eroare la stergerea adresei"
"Error during saving customer","Eroare in salvarea clientului"
"Error during updating the password","Eroare in actualizarea parolei"
"Newsletter Subscriptions","Abonamente la scrisoarea de noutati"
"Address Book","Cartea de adrese"
"Create New Customer Account","Creati un nou acont de client"
"Password was successfully updated","Parola a fost actualizata cu succes"
"Admin","Administrator"
"Country","Tara"
"Error during saving customer address","Eroare in salvarea adresei clientului"
"The address was successfully saved","Adresa a fost salvata cu succes"
"Change Account Password","Schimbati parola acontului"
"My Balance","Balanta mea"
"The address was successfully deleted","Adresa a fost stearsa cu succes"
"You have not set a primary shipping address.","Nu ati setat o adresa primara de livrare."
"Invalid login or password","Intrare sau parola invalida"
"Login","Intrati"
"Balance","Balanta"
"Thank you for registering with %s","Va multumim pentru inregistrarea la %s"
"Add New Address","Adaugati o noua adresa"
"The address does not belong to this customer","Adresa nu apartine acestui client"
"Create In","Creati in"
"My Tags","Cupoanele mele"
"Street Address","Adresa strazii"
"Error during customer deletion","Eroare la stergerea clientului"
"Last Name","Numele de familie"
"Customer Group","Grupul clientului"
"You are currently not subscribed to our newsletter","Nu sinteti in curent abonat la scrisoarea noastra de noutati"
"Invalid customer ID in the address data","ID de client invalid in data adresei"
"Create Account","Creati acontul"
"Use as My Primary %s Address","Folositi <strong>%s</strong> ca adresa primara"
"My Orders","Comenzile mele"
"View Order","Vedeti comanda"
"You're now Logged Out","Sinteti acum iesit"
"Ext. Price","Pret extins"
"Back to Login","Inapoi la intrare"
"Edit Newsletters","Editati scrisorile de noutati"
"Update","Actualizare"
"Billing Information","Informatia de factura"
"Last Viewed Items","Ultimele obiecte vazute"
"Sign Up for Newsletter","Semnati pentru scrisoarea de noutati"
"Edit Newsletter Subscription","Editati abonarea la scrisoarea de noutati"
"Address Information","Informatia adresei"
"Edit Address Entry","Editati intrarea adresei"
"Edit Account Information","Editati informatia acontului"
"Additional Address Entries","Intrari de adresa aditionale"
"You have no additional entries in your address book.","Nu aveti intrari aditionale ub cartea de adrese."
"Forgot Your Password?","Ati uitat parola?"
"My Wishlist","Lista mea de dorinte"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Prin crearea unui acont in magazinul nostru, veti putea trece mai repede prin procesul de verificare, stoca multiple adrese de livrare, vedea si urmari comenzile acontului si altele."
"You have placed no products yet.","Nu ati pus inca produse."
"Newsletters","Scrisori de noutati"
"Your account balance is: %s","Balanta acontului este: <strong>%s</strong>"
"You have no additional address entries in your address book.","Nu aveti intrari aditionale in cartea de adrese."
"Registered Customers","Clienti inregistrati"
"Default Billing Address","Adresa standard de factura"
"Confirm Password","Confirmati parola"
"New Address","Noua adresa"
"Grand Total: %s","Totalul complet: <strong>%s</strong>"
"Use as my default billing address","Folositi ca adresa de <strong>factura</strong> standard"
"Are you sure you want to delete this address?","Sinteti sigur ca vreti sa stergeti aceasta adresa?"
"Save","Salvati"
"Current Password","Parola curenta"
"You are currently subscribed to 'General Subscription'.","Sinteti in curent abonat la 'Abonamentul general'."
"Edit Personal Information","Editati informatia personala"
"Continue Shopping","Continuati cumparaturile"
"Manage Addresses","Administrati adresele"
"View Order List","Vedeti lista comenzii"
"Change Billing Address","Schimbati adresa facturii"
"Items Order","Obiectele comenzii"
"Primary Shipping Address","Adresa primara de livrare"
"* Required Fields","* Cimpuri cerute"
"You have no primary entries in your address book.","Nu aveti intrari primare in cartea de adrese."
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity. Select a link below to view.","Din panoul principal al acontului meu veti avea abilitatea de a vedea o imprimare a activitatii recente din acont. Selectati un link de mai jos pentru a vedea."
"Default Shipping Address","Adresa standard de livrare"
"New Customers","Noi clienti"
"Save Address","Salvati adresa"
"Use as my default shipping address","Folositi adresa de <strong>livrare</strong> standard"
"You are currently subscribed to our newsletter.","Sinteti in curent abonat la scrisoarea noastra de noutati."
"Change Password","Schimbati parola"
"You have placed no orders yet.","Nu ati pus inca vreo comanda."
"Account Information","Informatia de acont"
"Back","Inapoi"
"Save Password","Salvati parola"
"Please enter your email below and we\'ll send you a new password.","Va rugam sa intrati adresa de email si va vom trimite o parola noua."
"Sign up for our newsletter","Semnati pentru scrisoarea noastra de noutati"
"Order #%s (%s)","Comanda #%s (%s)"
"Contact Information","Informatia de contact"
"Primary Billing Address","Adresa primara de factura"
"Order List...","Lista comenzii..."
"Status","Statutul"
"Order #","Comanda #"
"My Reviews","Recenziile mele"
"New Password","Noua parola"
"Date","Data"
"Login or Create an Account","Intrati sau creati un acont"
"Shipping Method","Metoda de livrare"
"Confirm New Password","Confirmati noua parola"
"Shipping Information","Informatia de livrare"
"You are currently subscribed to no newsletters.","Nu sinteti in curent abonat la scrisorile noastre de noutati."
"If you have an account with us, please log in.","Daca aveti un acont cu noi, va rugam intrati."
"General Subscription","Abonament general"
"Last 5 Orders","Ultimele 5 comenzi"
"Login Information","Informatia de intrare"
"New Address Entry","Intrati noua adresa"
"Qty","Cantitatea"
"Shoppping Cart","Carut de cumparaturi"
"Hello, %s!","Buna, %s!"
"Personal Information","Informatia personala"
"Submit","Trimiteti"
"Default Addresses","Adresele standard"
"Details","Detalii"
"Please select region, state or province","Va rugam selectati regiunea, statul sau provincia"
"Product","Produs"
"Delete Address","Stergeti adresa"
"Price","Pret"
"This is My Primary %s Address","Aceasta este adresa mea <strong>%s</strong> primara"
"Street Address 2","Adresa strazii 2"
"Address","Adresa"
"To Cart","La carut"
"Password","Parola"
"Wishlist","Lista de dorinte"
"Go to Address Book","Merge-ti la cartea de adrese"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Ati iesit cu succes si veti fi redirectionat(a) catre pagina noastra de casa in 5 secunde."
"Email Address","Adresa de email"
"Remove","Stergeti"
"You have no default billing address in your address book.","Nu aveti o adresa standard de factura in cartea de adrese."
"Create an Account","Creati un acont"
"Total","Total"
"Addresses","Adrese"
"Subscribe","Abonati-va"
"You have no default shipping address in your address book.","Nu aveti o adresa standard de livrare in cartea de adrese."
"Change Shipping Address","Schimbati adresa de livrare"
"Retrieve your password here","Recuperati parola aici"
"Newsletter","Scrisoare de noutati"
"Save Subscription","Salvati abonarea"
