"Attempt to add an invalid object","Incercarea de a adauga un obiect invalid"
"Attribute with the same code","Atribut cu acelasi cod"
"Data integrity: No header row found for attribute","Integritatea datelor: Nu se gaseste coloana de capatii pentru atribut"
"Default option value is not defined","Optiunea de valoare normala nu este definita"
"Entity is not initialized","Entitatea nu este initializata"
"Entity's object is not initialized","Obiectul entitatii nu este initializat"
"Frontend label is not defined","Marca de instrare nu este definita"
"Invalid alias, already exists in joined attributes","Invalid nume de imprumut, exista deja in atributele asamblate"
"Invalid attribute name: %s","Numele atributului invalid: %s"
"Invalid attribute requested: %s","Atribut invalid cerut: %s"
"Invalid attribute type","Tip de atribut invalid"
"Invalid character encountered in increment ID: %s","Caracter invalid gasit in incrementul ID-ului: %s"
"Invalid condition","Conditie invalida"
"Invalid data object key","Cheia datei obiectului este invalida"
"Invalid entity supplied","Entitate invalida intrata"
"Invalid entity type","Tip de entitate invalida"
"Invalid entity type %s","Tip de entitate invalida %s"
"Invalid foreign key","Cheie straina invalida"
"Invalid object supplied","Obiect invalid intrat"
"Invalid store id supplied","ID de magazin intrat gresit"
"Joined field with this alias is already declared","Cimpul asamblat cu acest nume de imprumut este deja declarat"
No,Nu
"No connection available","Conectie ne-validata"
"No options root node found","Nu se gaseste nodul optiunilor de radacina"
"Unknown parameter","Parametru necunoscut"
"Valid store_id is expected!","Store_id valida este asteptata!"
"Value of attribute ""%s"" must be unique","Valoarea atributului ""%s"" trebuie sa fie unica"
"Wrong attribute group ID","ID de atribut de grup gresit"
"Wrong attribute ID","Atribut gresit de ID"
"Wrong attribute set ID","ID de set de atribut gresit"
"Wrong entity ID","ID de entitate gresit"
Yes,Da
