"(Make sure you keep it in a safe place.)","(Make sure you keep it in a safe place.)"
"Base Path","cararea de baza"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Inainte de a continua in acest magazin, va rugam luati nota de cheia de incriptie (Magento o foloseste pentru a incriptiona parole, carti de credit si multe altele)."
"Check out our","Verificati a noastra"
"Check this box only if you are unable to automatically validate Magento URL, for example if HTTP authentication is required.","Marcati aceasta casuta numai daca nu puteti valida automat URL-ul Magento, de exemplu daca autenticarea HTTP este ceruta."
Configuration,Configuratie
"Configuration options","Optiuni de configuratie"
"Confirm Password","Confirmati parola"
Connection,Connectie
Continue,Continuati
"Create Admin Account","Creati acont de administrator"
"Database Connection","Conectia cu baza de date"
"Database connection error","Eroare in conectia cu baza de date"
"Database host","Gazda bazei de date"
"Database Name","Numele bazei de date"
"Database user name","Numele folositorului bazei de date"
"Database user password","Parola folositorului bazei de date"
"Default Currency","Moneda standard"
"Default store","Magazin standard"
Email,Email
"Email Address","Email Address"
"Encryption Key","Cheia de incriptie"
"First Name",Numele
"For HTTP connections, the default port is 80.","Pentru conectii HTTP, poarta standard este 80."
"For HTTPS connections, default port is 443.","Pentru conectii HTTPS, poarta standard este 443."
"Get ready to experience Open-Source eCommerce Evolved.","Fiti gata pentru experienta evoluata a comertului electronic de sursa deschisa."
"Go to Backend","Mergeti in spate"
"Go to Frontend","Mergeti la prefata"
"Having trouble installing Magento?","Aveti probleme instalind Magento?"
Host,Gazda
"Host name","Numele gazdei"
"I agree to the above terms and conditions","Sint de acord cu termenii si contiile de mai sus"
Installation,Installation
"Installation Guide","Manual de instalatie"
"Last Name","Numele de familie"
Locale,Local
"Locale settings","Setari locale"
Localization,Localizare
"Login Information","Informatia de intrare"
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encription key for you and will display it on the next page.","Magento foloseste aceasta cheie pentru a incriptiona parole, carti de credit si multe altele. Daca acest cimp este lasat gol sistemul va crea o cheie de incriptie si va fi vazuta in pagina urmatoare."
"One from PHP Extensions ""%s"" must be loaded","Una din extensiile PHP ""%s"" trebuie sa fie incarcata"
Password,Parola
"Password Confirmation","Confirmati parola"
"Path ""%s"" must be writable","Cararea ""%s"" trebuie sa poata fi scrisa"
"Personal Information","Informatia personala"
"PHP Extension ""%s"" must be loaded","Extensia PHP ""%s"" trebuie sa fie incarcata"
"PHP Extension '%s' loaded","Extensia PHP '%s' incarcata"
"Please set all required settings before clicking Continue","Va rugam setati toate pozitiile cerute inainte de a apasa pe Continuati"
Port,Poarta
Protocol,Protocol
"Required Fields","Cimpuri cerute"
"Secure Base Path","Cararea garantata de baza"
"Secure Connection","Conectia garantata"
"Secure Host","Secure Host"
"Secure host name","Garantati numele gazdei"
"Secure Port","Poarta garantata"
"Secure Protocol","Protocol garantat"
"Secure www base path","Cararea garantata catre baza www"
"Skip URL validation","Treceti peste validarea URL"
"This Url is invalid","Acest Url este invalid"
"Time Zone","Fusul orar"
"Url ""%s"" is invalid","Url ""%s"" este invalid"
"Url ""%s"" is not accessible","Url ""%s"" nu este accesibil"
"User Name","Numele folositorului"
"User Password","Parola folositorului"
Username,Username
"Welcome to Magento's Installation Wizard","Bine ati venit la wizard-ul de instalatie Magento"
"WWW base path","cararea de baza www"
"You're All Set","Acum sinteti gata"
