"Cannot delete subscriber","Nu pot sterge abonatul"
"Cannot delete template","Nu pot sterge pre-facuta"
"Cannot mark as received subscriber","Nu pot marca abonatul primit"
"Cannot save your subscription: %s","Nu pot salva abonarea: %s"
"Confirmation request has been sent","Cererea de confirmatie a fost trimisa"
"Duplicate of template code","Duplica-ti codul pre-facutei"
"Form was filled incorrectly","Forma a fost completata incorect"
"Invalid queue selected","Rind invalid selectat"
"Invalid subscriber ID","ID-ul abonatului este invalid"
"Invalid subscription confirmation code","Cod de confirmare al abonamentului este invalid"
"Invalid subscription ID","ID de abonament invalid"
Newsletter,"Scrisoare de stiri"
"No subscribers selected","Nu sint selectati abonatii"
"Thank you for your subscription","Va multumim pentru abonament"
"The subscription was successfully saved","Abonamentul a fost salvat cu succes"
"There was a problem with the subscription: %s","A fost o problema cu abonarea: %s"
"There was a problem with the un-subscription: %s","A fost o problema cu de-abonarea: %s"
"There was an error while saving your subscription","A fost o eroare in salvarea abonarii"
"You have been successfully unsubscribed","Ati fost de-abonat cu succes"
"Your subscription was successfully confirmed","Abonarea a fost confirmata cu succes"
