"American Express","American Express"
April,Aprilie
August,August
"Card Type","Tipul de carte"
"Card Verification Number","Numarul de verificare al cartii"
"Credit Card Number","Numarul cartii de credit"
"Credit Card Type","Tipul cartii de credit"
December,Decembrie
Discover,Discover
"Expiration Date","Data expirarii"
February,Februarie
January,Ianuarie
July,Iulie
June,Iunie
March,Martie
"Master Card","Master Card"
May,Mai
Month,Luna
"Name on Card","Numele pe carte"
November,Noiembrie
October,Octombrie
"Please select credit card type","Va rugam selecta-ti tipul de carte de credit"
"Purchase Order Number","Numarul comenzii de cumparaturi"
September,Septembrie
Visa,Visa
"What is this?","Ce este aceasta?"
Year,Anul
