"To Fixed Value","La valoarea fixata"
"Customer registered: %s","Clientul inregistrat: %s"
"Row total in cart","Totalul carutului"
"Description: %s","Descriptie: %s"
"Customer is new buyer: %s","Clientul este un cumparator nou: %s"
"Expire at: %s","Expira la: %s"
"By Fixed value","Cu valoarea fixata"
"Update the Product","Actualizati produsul"
"To Percentage","La procentaj"
"Attribute Set","Set de atribute"
"Start at: %s","Incepe la: %s"
"Product attribute combination","Combinatia de atribute a produsului"
"By Percentage","Cu procentaj"
"Price in cart","Pret in carut"
"Quantity in cart","Cantitate in carut"
"Name: %s","Nume: %s"
"Update product's %s %s: %s","Actualizati produsele %s %s: %s"
"Invalid item entity","Entitate de obiect invalida"
"Conditions combination","Conditiile combinatiei"
"Special price","Pret special"
